name,ingredients,category
"Milk, chocolate, lowfat, with added vitamin A and vitamin D",N/A,Milk
"Milk, goat, fluid, with added vitamin D",N/A,Milk
"Milk, human, mature, fluid",N/A,Milk
"Whey, acid, dried",N/A,Whey
"Whey, sweet, dried",N/A,Whey
"Yogurt, plain, whole milk",N/A,Yogurt
"Yogurt, plain, low fat",N/A,Yogurt
"Yogurt, plain, skim milk",N/A,Yogurt
"Egg, whole, raw, fresh",N/A,Egg
"Egg, white, raw, fresh",N/A,Egg
"Egg, yolk, raw, fresh",N/A,Egg
"Egg, whole, cooked, hard-boiled",N/A,Egg
"Egg, whole, dried",N/A,Egg
"Egg, duck, whole, fresh, raw",N/A,Egg
"Egg, goose, whole, fresh, raw",N/A,Egg
"Egg, quail, whole, fresh, raw",N/A,Egg
"Butter, without salt",N/A,Butter
"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",N/A,Milk
"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",N/A,Milk
"Cheese, goat, semisoft type",N/A,Cheese
"Cheese sauce, prepared from recipe",N/A,Cheese sauce
"Cheese, mexican, queso anejo",N/A,Cheese
"Cheese, mexican, queso asadero",N/A,Cheese
"Cheese, low-sodium, cheddar or colby",N/A,Cheese
"Sour cream, light",N/A,Sour cream
"Sour cream, fat free",N/A,Sour cream
"Parmesan cheese topping, fat free",N/A,Parmesan cheese topping
"Cheese, cream, fat free",N/A,Cheese
"Cream, half and half, fat free",N/A,Cream
"Cream substitute, flavored, liquid",N/A,Cream substitute
"Cream substitute, flavored, powdered",N/A,Cream substitute
"Cheese, provolone, reduced fat",N/A,Cheese
"Cheese, Mexican, blend, reduced fat",N/A,Cheese
"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",N/A,Milk
"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",N/A,Cheese product
"Protein supplement, milk based, Muscle Milk, powder",N/A,Protein supplement
"Protein supplement, milk based, Muscle Milk Light, powder",N/A,Protein supplement
Dulce de Leche,N/A,Dulce de Leche
"Egg substitute, liquid or frozen, fat free",N/A,Egg substitute
"Cheese, fresh, queso fresco",N/A,Cheese
"Milk, buttermilk, fluid, whole",N/A,Milk
"Ice cream, bar or stick, chocolate covered",N/A,Ice cream
"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",N/A,Ice cream cone
"Fat free ice cream, no sugar added, flavors other than chocolate",N/A,Fat free ice cream
"Nutritional supplement for people with diabetes, liquid",N/A,Nutritional supplement for people with diabetes
"Cheese, Mexican blend",N/A,Cheese
"Cheese product, pasteurized process, American, vitamin D fortified",N/A,Cheese product
"Cheese, pasteurized process, American, without added vitamin D",N/A,Cheese
"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)",N/A,Yogurt
"Cheese spread, American or Cheddar cheese base, reduced fat",N/A,Cheese spread
"Cheese, cheddar, reduced fat (Includes foods for USDA's Food Distribution Program)",N/A,Cheese
"Ice cream bar, stick or nugget, with crunch coating",N/A,Ice cream bar
"Cheese, cheddar, nonfat or fat free",N/A,Cheese
"Cheese, Swiss, nonfat or fat free",N/A,Cheese
"Cheese, mexican, queso cotija",N/A,Cheese
"Yogurt, Greek, strawberry, lowfat",N/A,Yogurt
"Yogurt, Greek, strawberry, nonfat",N/A,Yogurt
"Yogurt, Greek, vanilla, nonfat",N/A,Yogurt
"Yogurt, Greek, plain, lowfat",N/A,Yogurt
"Kefir, lowfat, plain, LIFEWAY",N/A,Kefir
"Kefir, lowfat, strawberry, LIFEWAY",N/A,Kefir
"Milk, chocolate, fat free, with added vitamin A and vitamin D",N/A,Milk
"Yogurt, Greek, plain, whole milk",N/A,Yogurt
"Yogurt, Greek, fruit, whole milk",N/A,Yogurt
"Yogurt, Greek, vanilla, lowfat",N/A,Yogurt
"Light ice cream, Creamsicle",N/A,Light ice cream
"Milk, chocolate, lowfat, reduced sugar",N/A,Milk
"Spices, basil, dried",N/A,Spices
"Spices, caraway seed",N/A,Spices
"Spices, celery seed",N/A,Spices
"Spices, chili powder",N/A,Spices
"Spices, cinnamon, ground",N/A,Spices
"Spices, cloves, ground",N/A,Spices
"Spices, coriander leaf, dried",N/A,Spices
"Spices, cumin seed",N/A,Spices
"Spices, garlic powder",N/A,Spices
"Spices, ginger, ground",N/A,Spices
"Spices, marjoram, dried",N/A,Spices
"Spices, mustard seed, ground",N/A,Spices
"Spices, nutmeg, ground",N/A,Spices
"Spices, onion powder",N/A,Spices
"Spices, oregano, dried",N/A,Spices
"Spices, paprika",N/A,Spices
"Spices, parsley, dried",N/A,Spices
"Spices, pepper, black",N/A,Spices
"Spices, pepper, red or cayenne",N/A,Spices
"Spices, poultry seasoning",N/A,Spices
"Spices, pumpkin pie spice",N/A,Spices
"Spices, sage, ground",N/A,Spices
"Spices, thyme, dried",N/A,Spices
"Spices, turmeric, ground",N/A,Spices
"Basil, fresh",N/A,Basil
"Mustard, prepared, yellow",N/A,Mustard
"Salt, table, iodized",N/A,Salt
"Vinegar, cider",N/A,Vinegar
"Vanilla extract, imitation, no alcohol",N/A,Vanilla extract
"Vinegar, distilled",N/A,Vinegar
"Capers, canned",N/A,Capers
"Horseradish, prepared",N/A,Horseradish
Clif Z bar,N/A,Clif Z bar
"Babyfood, juice treats, fruit medley, toddler",N/A,Babyfood
"Babyfood, meat, beef, strained",N/A,Babyfood
"Babyfood, meat, beef, junior",N/A,Babyfood
"Babyfood, meat, veal, strained",N/A,Babyfood
"Babyfood, meat, ham, strained",N/A,Babyfood
"Babyfood, meat, lamb, strained",N/A,Babyfood
"Babyfood, meat, chicken, strained",N/A,Babyfood
"Babyfood, meat, chicken, junior",N/A,Babyfood
"Babyfood, meat, chicken sticks, junior",N/A,Babyfood
"Babyfood, meat, turkey, strained",N/A,Babyfood
"Babyfood, meat, turkey, junior",N/A,Babyfood
"Babyfood, meat, turkey sticks, junior",N/A,Babyfood
"Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars",N/A,Babyfood
"Babyfood, meat, meat sticks, junior",N/A,Babyfood
"Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon",N/A,Babyfood
"Babyfood, water, bottled, GERBER, without added fluoride",N/A,Babyfood
"Babyfood, tropical fruit medley",N/A,Babyfood
"Babyfood, dinner, macaroni and tomato and beef, strained",N/A,Babyfood
"Babyfood, dinner, macaroni and tomato and beef, junior",N/A,Babyfood
"Babyfood, ravioli, cheese filled, with tomato sauce",N/A,Babyfood
"Babyfood, dinner, beef noodle, strained",N/A,Babyfood
"Babyfood, macaroni and cheese, toddler",N/A,Babyfood
"Babyfood, dinner, spaghetti and tomato and meat, junior",N/A,Babyfood
"Babyfood, dinner, beef stew, toddler",N/A,Babyfood
"Babyfood, dinner, vegetables and beef, strained",N/A,Babyfood
"Babyfood, dinner, vegetables and beef, junior",N/A,Babyfood
"Babyfood, dinner, beef with vegetables",N/A,Babyfood
"Babyfood, dinner, chicken noodle, strained",N/A,Babyfood
"Babyfood, dinner, chicken noodle, junior",N/A,Babyfood
"Babyfood, dinner, chicken soup, strained",N/A,Babyfood
"Babyfood, dinner, chicken stew, toddler",N/A,Babyfood
"Babyfood, dinner, vegetables chicken, strained",N/A,Babyfood
"Babyfood, dinner, pasta with vegetables",N/A,Babyfood
"Babyfood, dinner, turkey and rice, strained",N/A,Babyfood
"Babyfood, dinner, turkey and rice, junior",N/A,Babyfood
"Babyfood, dinner, vegetables and turkey, strained",N/A,Babyfood
"Babyfood, dinner, vegetables and turkey, junior",N/A,Babyfood
"Babyfood, dinner, macaroni and cheese, strained",N/A,Babyfood
"Babyfood, dinner, macaroni and cheese, junior",N/A,Babyfood
"Babyfood, vegetables, green beans, strained",N/A,Babyfood
"Babyfood, vegetables, green beans, junior",N/A,Babyfood
"Babyfood, green beans, dices, toddler",N/A,Babyfood
"Babyfood, vegetable, green beans and potatoes",N/A,Babyfood
"Babyfood, vegetables, beets, strained",N/A,Babyfood
"Babyfood, vegetables, carrots, strained",N/A,Babyfood
"Babyfood, vegetables, carrots, junior",N/A,Babyfood
"Babyfood, vegetables, squash, strained",N/A,Babyfood
"Babyfood, vegetables, squash, junior",N/A,Babyfood
"Babyfood, vegetables, sweet potatoes strained",N/A,Babyfood
"Babyfood, vegetables, sweet potatoes, junior",N/A,Babyfood
"Babyfood, potatoes, toddler",N/A,Babyfood
"Babyfood, vegetable, butternut squash and corn",N/A,Babyfood
"Babyfood, apples, dices, toddler",N/A,Babyfood
"Babyfood, fruit, applesauce, strained",N/A,Babyfood
"Babyfood, fruit, applesauce, junior",N/A,Babyfood
"Babyfood, fruit, apricot with tapioca, strained",N/A,Babyfood
"Babyfood, vegetables, corn, creamed, strained",N/A,Babyfood
"Babyfood, vegetables, corn, creamed, junior",N/A,Babyfood
"Babyfood, vegetables, peas, strained",N/A,Babyfood
"Babyfood, peas, dices, toddler",N/A,Babyfood
"Babyfood, vegetables, spinach, creamed, strained",N/A,Babyfood
"Babyfood, fruit, apricot with tapioca, junior",N/A,Babyfood
"Babyfood, fruit, bananas with tapioca, strained",N/A,Babyfood
"Babyfood, fruit, peaches, strained",N/A,Babyfood
"Babyfood, fruit, peaches, junior",N/A,Babyfood
"Babyfood, fruit, pears, strained",N/A,Babyfood
"Babyfood, fruit, pears, junior",N/A,Babyfood
"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",N/A,Babyfood
"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior",N/A,Babyfood
"Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained",N/A,Babyfood
"Babyfood, prunes, without vitamin c, strained",N/A,Babyfood
"Babyfood, fruit dessert, mango with tapioca",N/A,Babyfood
"Babyfood, pears, dices, toddler",N/A,Babyfood
"Babyfood, fruit, applesauce and apricots, strained",N/A,Babyfood
"Babyfood, fruit, applesauce and apricots, junior",N/A,Babyfood
"Babyfood, fruit, applesauce and cherries, strained",N/A,Babyfood
"Babyfood, fruit, applesauce and cherries, junior",N/A,Babyfood
"Babyfood, fruit, applesauce with banana, junior",N/A,Babyfood
"Babyfood, fruit, apple and raspberry, strained",N/A,Babyfood
"Babyfood, fruit, apple and raspberry, junior",N/A,Babyfood
"Babyfood, fruit and vegetable, apple and sweet potato",N/A,Babyfood
"Babyfood, fruit, bananas and pineapple with tapioca, junior",N/A,Babyfood
"Babyfood, fruit, bananas and pineapple with tapioca, strained",N/A,Babyfood
"Babyfood, fruit, pears and pineapple, strained",N/A,Babyfood
"Babyfood, fruit, pears and pineapple, junior",N/A,Babyfood
"Babyfood, peaches, dices, toddler",N/A,Babyfood
"Babyfood, fruit, bananas with apples and pears, strained",N/A,Babyfood
"Babyfood, fruit, apple and blueberry, strained",N/A,Babyfood
"Babyfood, fruit, apple and blueberry, junior",N/A,Babyfood
"Babyfood, juice, apple",N/A,Babyfood
"Babyfood, apple-banana juice",N/A,Babyfood
"Babyfood, juice, apple and peach",N/A,Babyfood
"Babyfood, juice, apple and prune",N/A,Babyfood
"Babyfood, juice, orange",N/A,Babyfood
"Babyfood, juice, orange and apple and banana",N/A,Babyfood
"Babyfood, juice, mixed fruit",N/A,Babyfood
"Babyfood, cereal, barley, dry fortified",N/A,Babyfood
"Babyfood, cereal, whole wheat, with apples, dry fortified",N/A,Babyfood
"Babyfood, cereal, mixed, dry fortified",N/A,Babyfood
"Babyfood, cereal, mixed, with bananas, dry",N/A,Babyfood
"Babyfood, cereal, mixed, with applesauce and bananas, strained",N/A,Babyfood
"Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",N/A,Babyfood
"Babyfood, cereal, oatmeal, dry fortified",N/A,Babyfood
"Babyfood, cereal, oatmeal, with bananas, dry",N/A,Babyfood
"Babyfood, cereal, oatmeal, with applesauce and bananas, strained",N/A,Babyfood
"Babyfood, cereal, oatmeal, with applesauce and bananas, junior, fortified",N/A,Babyfood
"Babyfood, cereal, rice, dry fortified",N/A,Babyfood
"Babyfood, cereal, rice, with applesauce and bananas, strained",N/A,Babyfood
"Babyfood, oatmeal cereal with fruit, dry, instant, toddler fortified",N/A,Babyfood
"Babyfood, cookie, baby, fruit",N/A,Babyfood
"Babyfood, crackers, vegetable",N/A,Babyfood
"Babyfood, cereal, rice, with bananas, dry",N/A,Babyfood
"Babyfood, cookies",N/A,Babyfood
"Babyfood, pretzels",N/A,Babyfood
"Babyfood, teething biscuits",N/A,Babyfood
Zwieback,N/A,Zwieback
"Babyfood, dessert, dutch apple, strained",N/A,Babyfood
"Babyfood, dessert, dutch apple, junior",N/A,Babyfood
"Babyfood, cherry cobbler, junior",N/A,Babyfood
"Babyfood, dessert, cherry vanilla pudding, strained",N/A,Babyfood
"Babyfood, dessert, cherry vanilla pudding, junior",N/A,Babyfood
"Babyfood, dessert, peach cobbler, strained",N/A,Babyfood
"Babyfood, dessert, peach cobbler, junior",N/A,Babyfood
"Babyfood, dessert, fruit pudding, pineapple, strained",N/A,Babyfood
"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",N/A,Babyfood
"Babyfood, dessert, fruit dessert, without ascorbic acid, junior",N/A,Babyfood
"Babyfood, dessert, custard pudding, vanilla, strained",N/A,Babyfood
"Babyfood, dessert, custard pudding, vanilla, junior",N/A,Babyfood
"Babyfood, juice, apple and grape",N/A,Babyfood
"Babyfood, juice, fruit punch, with calcium",N/A,Babyfood
"Babyfood, juice, apple, with calcium",N/A,Babyfood
"Babyfood, dinner, vegetables and chicken, junior",N/A,Babyfood
"Babyfood, dinner, mixed vegetable, junior",N/A,Babyfood
"Babyfood, fruit, bananas with tapioca, junior",N/A,Babyfood
"Babyfood, vegetables, mix vegetables junior",N/A,Babyfood
"Babyfood, vegetables, garden vegetable, strained",N/A,Babyfood
"Babyfood, dinner, beef noodle, junior",N/A,Babyfood
"Babyfood, apples with ham, strained",N/A,Babyfood
"Babyfood, carrots and beef, strained",N/A,Babyfood
"Babyfood, plums, bananas and rice, strained",N/A,Babyfood
"Babyfood, dinner, turkey, rice, and vegetables, toddler",N/A,Babyfood
"Babyfood, dinner, apples and chicken, strained",N/A,Babyfood
"Babyfood, dinner, broccoli and chicken, junior",N/A,Babyfood
"Babyfood, beverage, GERBER, GRADUATES, FRUIT SPLASHERS",N/A,Babyfood
"Babyfood, snack, GERBER, GRADUATES, YOGURT MELTS",N/A,Babyfood
"Babyfood, dinner, sweet potatoes and chicken, strained",N/A,Babyfood
"Infant formula, MEAD JOHNSON, PREGESTIMIL, with iron, powder, not reconstituted",N/A,Infant formula
"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, with iron, powder, not reconstituted, with ARA and DHA",N/A,Infant formula
"Infant formula, MEAD JOHNSON, ENFAMIL, PROSOBEE LIPIL, with iron, powder, not reconstituted, with ARA and DHA",N/A,Infant formula
"Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed",N/A,Child formula
"Infant formula, NESTLE, GOOD START SOY, with ARA and DHA, powder",N/A,Infant formula
"Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed, with iron and fiber",N/A,Child formula
"Babyfood, corn and sweet potatoes, strained",N/A,Babyfood
"Infant formula, ABBOTT NUTRITION, SIMILAC, ALIMENTUM, ADVANCE, ready-to-feed, with ARA and DHA",N/A,Infant formula
"Infant formula, MEAD JOHNSON, ENFAMIL, AR, powder, with ARA and DHA",N/A,Infant formula
"Infant formula, ABBOTT NUTRITION, SIMILAC, NEOSURE, powder, with ARA and DHA",N/A,Infant formula
"Infant formula, ABBOTT NUTRITION, SIMILAC, SENSITIVE, (LACTOSE FREE), powder, with ARA and DHA",N/A,Infant formula
"Infant formula, ABBOTT NUTRITION, SIMILAC, ADVANCE, with iron, powder, not reconstituted",N/A,Infant formula
"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, ADVANCE with iron, powder, not reconstituted",N/A,Infant formula
"Infant Formula, MEAD JOHNSON, ENFAMIL, ENFACARE LIPIL, ready-to-feed, with ARA and DHA",N/A,Infant Formula
"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified",N/A,Babyfood
"Babyfood, mashed cheddar potatoes and broccoli, toddlers",N/A,Babyfood
"Babyfood, fortified cereal bar, fruit filling",N/A,Babyfood
"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified",N/A,Babyfood
"Toddler formula, MEAD JOHNSON, ENFAGROW, PREMIUM (formerly ENFAMIL, LIPIL, NEXT STEP), powder",N/A,Toddler formula
"Infant Formula, MEAD JOHNSON, ENFAMIL, GENTLEASE, powder",N/A,Infant Formula
"Infant formula, MEAD JOHNSON, ENFAMIL, Premature, 20 calories ready-to-feed",N/A,Infant formula
"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Newborn, ready-to-feed",N/A,Infant Formula
"Infant formula, GERBER, GOOD START 2 Soy, with iron, ready-to-feed",N/A,Infant formula
"Infant formula, ABBOTT NUTRITION, SIMILAC, Expert Care, Diarrhea, ready- to- feed with ARA and DHA",N/A,Infant formula
"Babyfood, fruit, banana and strawberry, junior",N/A,Babyfood
"Babyfood, banana with mixed berries, strained",N/A,Babyfood
"Babyfood, Multigrain whole grain cereal, dry fortified",N/A,Babyfood
"Babyfood, Baby MUM MUM Rice Biscuits",N/A,Babyfood
"Babyfood, Snack, GERBER, GRADUATES, LIL CRUNCHIES, baked whole grain corn snack",N/A,Babyfood
"Infant formula, ABBOTT NUTRITION, SIMILAC, For Spit Up, powder, with ARA and DHA",N/A,Infant formula
"Fat, beef tallow",N/A,Fat
Lard,N/A,Lard
"Salad dressing, KRAFT Mayo Fat Free Mayonnaise Dressing",N/A,Salad dressing
"Salad dressing, russian dressing",N/A,Salad dressing
"Salad dressing, sesame seed dressing, regular",N/A,Salad dressing
"Salad dressing, thousand island, commercial, regular",N/A,Salad dressing
"Salad dressing, mayonnaise type, regular, with salt",N/A,Salad dressing
"Salad dressing, french dressing, reduced fat",N/A,Salad dressing
"Salad dressing, italian dressing, commercial, reduced fat",N/A,Salad dressing
"Salad dressing, russian dressing, low calorie",N/A,Salad dressing
"Salad dressing, thousand island dressing, reduced fat",N/A,Salad dressing
"Salad dressing, mayonnaise, regular",N/A,Salad dressing
"Salad dressing, mayonnaise, imitation, soybean",N/A,Salad dressing
"Sandwich spread, with chopped pickle, regular, unspecified oils",N/A,Sandwich spread
"Oil, wheat germ",N/A,Oil
"Oil, peanut, salad or cooking",N/A,Oil
"Oil, soybean, salad or cooking",N/A,Oil
"Oil, coconut",N/A,Oil
"Oil, olive, salad or cooking",N/A,Oil
"Oil, sesame, salad or cooking",N/A,Oil
"Salad dressing, italian dressing, commercial, regular",N/A,Salad dressing
"Salad dressing, french dressing, commercial, regular",N/A,Salad dressing
"Margarine,spread, 35-39% fat, tub",N/A,Margarine
"Salad dressing, home recipe, vinegar and oil",N/A,Salad dressing
"Salad dressing, french dressing, fat-free",N/A,Salad dressing
"Oil, cottonseed, salad or cooking",N/A,Oil
"Oil, sunflower, linoleic, (approx. 65%)",N/A,Oil
"Oil, safflower, salad or cooking, high oleic (primary safflower oil of commerce)",N/A,Oil
"Oil, corn, industrial and retail, all purpose salad or cooking",N/A,Oil
"Oil, walnut",N/A,Oil
"Oil, almond",N/A,Oil
"Salad dressing, blue or roquefort cheese dressing, commercial, regular",N/A,Salad dressing
"Fat, chicken",N/A,Fat
"Oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed",N/A,Oil
"Shortening industrial, soybean (hydrogenated) and cottonseed",N/A,Shortening industrial
"Fat, turkey",N/A,Fat
"Oil, canola",N/A,Oil
"Butter, light, stick, with salt",N/A,Butter
"Animal fat, bacon grease",N/A,Animal fat
"Margarine, regular, 80% fat, composite, stick, with salt",N/A,Margarine
"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",N/A,Margarine-like
"Shortening, vegetable, household, composite",N/A,Shortening
"Margarine, regular, 80% fat, composite, stick, without salt",N/A,Margarine
"Salad dressing, thousand island dressing, fat-free",N/A,Salad dressing
"Salad dressing, italian dressing, fat-free",N/A,Salad dressing
"Salad dressing, ranch dressing, regular",N/A,Salad dressing
"Salad dressing, mayonnaise, light",N/A,Salad dressing
"Oil, industrial, coconut, confection fat, typical basis for ice cream coatings",N/A,Oil
"Oil, PAM cooking spray, original",N/A,Oil
"Salad dressing, honey mustard dressing, reduced calorie",N/A,Salad dressing
"Margarine-like, vegetable oil spread, approximately 37% fat, unspecified oils, with salt, with added vitamin D",N/A,Margarine-like
"Margarine, regular, 80% fat, composite, stick, with salt, with added vitamin D",N/A,Margarine
"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",N/A,Margarine-like
"Oil, industrial, canola, high oleic",N/A,Oil
"Oil, industrial, soy, low linolenic",N/A,Oil
"Oil, industrial, soy, ultra low linolenic",N/A,Oil
"Oil, industrial, soy, fully hydrogenated",N/A,Oil
"Salad dressing, honey mustard, regular",N/A,Salad dressing
"Salad dressing, poppyseed, creamy",N/A,Salad dressing
"Salad dressing, caesar, fat-free",N/A,Salad dressing
"Dressing, honey mustard, fat-free",N/A,Dressing
"Mayonnaise, reduced fat, with olive oil",N/A,Mayonnaise
"Salad dressing, mayonnaise-type, light",N/A,Salad dressing
"Chicken, broiler, rotisserie, BBQ, breast, meat only",N/A,Chicken
"Chicken, broilers or fryers, skin only, raw",N/A,Chicken
"Chicken, broilers or fryers, skin only, cooked, roasted",N/A,Chicken
"Chicken, broilers or fryers, giblets, cooked, simmered",N/A,Chicken
"Chicken, gizzard, all classes, cooked, simmered",N/A,Chicken
"Chicken, liver, all classes, raw",N/A,Chicken
"Chicken, liver, all classes, cooked, simmered",N/A,Chicken
"Chicken, broilers or fryers, back, meat and skin, cooked, roasted",N/A,Chicken
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",N/A,Chicken
"Chicken, broilers or fryers, drumstick, meat and skin, cooked, roasted",N/A,Chicken
"Chicken, broilers or fryers, dark meat, drumstick, meat only, cooked, roasted",N/A,Chicken
"Chicken, broilers or fryers, neck, meat and skin, cooked simmered",N/A,Chicken
"Chicken, broilers or fryers, thigh, meat and skin, raw",N/A,Chicken
"Chicken, broilers or fryers, thigh, meat and skin, cooked, roasted",N/A,Chicken
"Chicken, broilers or fryers, thigh, meat only, cooked, roasted",N/A,Chicken
"Chicken, broilers or fryers, wing, meat and skin, cooked, roasted",N/A,Chicken
"Chicken, broilers or fryers, wing, meat and skin, cooked, stewed",N/A,Chicken
"Duck, domesticated, meat and skin, cooked, roasted",N/A,Duck
"Duck, domesticated, meat only, cooked, roasted",N/A,Duck
"Goose, domesticated, meat and skin, cooked, roasted",N/A,Goose
"Turkey, whole, meat and skin, raw",N/A,Turkey
"Turkey, whole, meat and skin, cooked, roasted",N/A,Turkey
"Turkey, whole, meat only, raw",N/A,Turkey
"Turkey, whole, meat only, cooked, roasted",N/A,Turkey
"Turkey, whole, neck, meat only, cooked, simmered",N/A,Turkey
"Turkey, whole, light meat, meat and skin, cooked, roasted",N/A,Turkey
"Turkey, whole, dark meat, meat and skin, cooked, roasted",N/A,Turkey
