name,ingredients,category,harmful
"Cheese, camembert",Unknown,Other,0
"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",Unknown,Other,0
"Cheese, colby",Unknown,Other,0
"Cheese, cottage, creamed, large or small curd",Unknown,Other,0
"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",Unknown,Other,0
"Cheese, cottage, lowfat, 2% milkfat",Unknown,Other,0
"Cheese, cottage, lowfat, 1% milkfat",Unknown,Other,0
"Cheese, cream",Unknown,Other,0
"Cheese, feta",Unknown,Other,0
"Cheese, fontina",Unknown,Other,0
"Cheese, gouda",Unknown,Other,0
"Cheese, gruyere",Unknown,Other,0
"Cheese, limburger",Unknown,Other,0
"Cheese, monterey",Unknown,Other,0
"Cheese, mozzarella, low moisture, part-skim",Unknown,Other,0
"Cheese, muenster",Unknown,Other,0
"Cheese, parmesan, grated",Unknown,Other,0
"Cheese, provolone",Unknown,Other,0
"Cheese, ricotta, whole milk",Unknown,Other,0
"Cheese, ricotta, part skim milk",Unknown,Other,0
"Cheese, swiss",Unknown,Other,0
"Cheese, pasteurized process, American, vitamin D fortified",Unknown,Other,0
"Cheese spread, pasteurized process, American",Unknown,Other,0
"Cream, fluid, half and half",Unknown,Other,0
"Cream, fluid, light (coffee cream or table cream)",Unknown,Other,0
"Cream, fluid, heavy whipping",Unknown,Other,0
"Cream, whipped, cream topping, pressurized",Unknown,Other,0
"Cream, sour, cultured",Unknown,Other,0
Eggnog,Unknown,Other,0
"Cheese, American, nonfat or fat free",Unknown,Other,0
"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",Unknown,Other,0
"Cream substitute, powdered",Unknown,Other,0
"Dessert topping, semi solid, frozen",Unknown,Other,0
"Sour cream, imitation, cultured",Unknown,Other,0
"Milk, whole, 3.25% milkfat, with added vitamin D",Unknown,Other,0
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Unknown,Other,0
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Unknown,Other,0
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",Unknown,Other,0
"Milk, buttermilk, fluid, cultured, lowfat",Unknown,Other,0
"Milk, low sodium, fluid",Unknown,Other,0
"Milk, dry, whole, with added vitamin D",Unknown,Other,0
"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",Unknown,Other,0
"Milk, buttermilk, dried",Unknown,Other,0
"Milk, canned, condensed, sweetened",Unknown,Other,0
"Milk, canned, evaporated, with added vitamin D and without added vitamin A",Unknown,Other,0
"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",Unknown,Other,0
"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",Unknown,Other,0
"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",Unknown,Other,0
"Milk, chocolate, lowfat, with added vitamin A and vitamin D",Unknown,Other,0
"Milk, goat, fluid, with added vitamin D",Unknown,Other,0
"Milk, human, mature, fluid",Unknown,Other,0
"Whey, acid, dried",Unknown,Other,0
"Whey, sweet, dried",Unknown,Other,0
"Yogurt, plain, whole milk",Unknown,Other,0
"Yogurt, plain, low fat",Unknown,Other,0
"Yogurt, plain, skim milk",Unknown,Other,0
"Egg, whole, raw, fresh",Unknown,Other,0
"Egg, white, raw, fresh",Unknown,Other,0
"Egg, yolk, raw, fresh",Unknown,Other,0
"Egg, whole, cooked, hard-boiled",Unknown,Other,0
"Egg, whole, dried",Unknown,Other,0
"Egg, duck, whole, fresh, raw",Unknown,Other,0
"Egg, goose, whole, fresh, raw",Unknown,Other,0
"Egg, quail, whole, fresh, raw",Unknown,Other,0
"Butter, without salt",Unknown,Other,0
"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",Unknown,Other,0
"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",Unknown,Other,0
"Cheese, goat, semisoft type",Unknown,Other,0
"Cheese sauce, prepared from recipe",Unknown,Other,0
"Cheese, mexican, queso anejo",Unknown,Other,0
"Cheese, mexican, queso asadero",Unknown,Other,0
"Cheese, low-sodium, cheddar or colby",Unknown,Other,0
"Sour cream, light",Unknown,Other,0
"Sour cream, fat free",Unknown,Other,0
"Parmesan cheese topping, fat free",Unknown,Other,0
"Cheese, cream, fat free",Unknown,Other,0
"Cream, half and half, fat free",Unknown,Other,0
"Cream substitute, flavored, liquid",Unknown,Other,0
"Cream substitute, flavored, powdered",Unknown,Other,0
"Cheese, provolone, reduced fat",Unknown,Other,0
"Cheese, Mexican, blend, reduced fat",Unknown,Other,0
"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",Unknown,Other,0
"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",Unknown,Other,0
"Protein supplement, milk based, Muscle Milk, powder",Unknown,Other,0
"Protein supplement, milk based, Muscle Milk Light, powder",Unknown,Other,0
Dulce de Leche,Unknown,Other,0
"Egg substitute, liquid or frozen, fat free",Unknown,Other,0
"Cheese, fresh, queso fresco",Unknown,Other,0
"Milk, buttermilk, fluid, whole",Unknown,Other,0
"Ice cream, bar or stick, chocolate covered",Unknown,Other,0
"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",Unknown,Other,0
"Fat free ice cream, no sugar added, flavors other than chocolate",Unknown,Other,0
"Nutritional supplement for people with diabetes, liquid",Unknown,Other,0
"Cheese, Mexican blend",Unknown,Other,0
"Cheese product, pasteurized process, American, vitamin D fortified",Unknown,Other,0
"Cheese, pasteurized process, American, without added vitamin D",Unknown,Other,0
"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)",Unknown,Other,0
"Cheese spread, American or Cheddar cheese base, reduced fat",Unknown,Other,0
"Cheese, cheddar, reduced fat (Includes foods for USDA's Food Distribution Program)",Unknown,Other,0
"Ice cream bar, stick or nugget, with crunch coating",Unknown,Other,0
"Cheese, cheddar, nonfat or fat free",Unknown,Other,0
"Cheese, Swiss, nonfat or fat free",Unknown,Other,0
"Cheese, mexican, queso cotija",Unknown,Other,0
"Yogurt, Greek, strawberry, lowfat",Unknown,Other,0
"Yogurt, Greek, strawberry, nonfat",Unknown,Other,0
"Yogurt, Greek, vanilla, nonfat",Unknown,Other,0
"Yogurt, Greek, plain, lowfat",Unknown,Other,0
"Kefir, lowfat, plain, LIFEWAY",Unknown,Other,0
"Kefir, lowfat, strawberry, LIFEWAY",Unknown,Other,0
"Milk, chocolate, fat free, with added vitamin A and vitamin D",Unknown,Other,0
"Yogurt, Greek, plain, whole milk",Unknown,Other,0
"Yogurt, Greek, fruit, whole milk",Unknown,Other,0
"Yogurt, Greek, vanilla, lowfat",Unknown,Other,0
"Light ice cream, Creamsicle",Unknown,Other,0
"Milk, chocolate, lowfat, reduced sugar",Unknown,Other,0
"Spices, basil, dried",Unknown,Other,0
"Spices, caraway seed",Unknown,Other,0
"Spices, celery seed",Unknown,Other,0
"Spices, chili powder",Unknown,Other,0
"Spices, cinnamon, ground",Unknown,Other,0
"Spices, cloves, ground",Unknown,Other,0
"Spices, coriander leaf, dried",Unknown,Other,0
"Spices, cumin seed",Unknown,Other,0
"Spices, garlic powder",Unknown,Other,0
"Spices, ginger, ground",Unknown,Other,0
"Spices, marjoram, dried",Unknown,Other,0
"Spices, mustard seed, ground",Unknown,Other,0
"Spices, nutmeg, ground",Unknown,Other,0
"Spices, onion powder",Unknown,Other,0
"Spices, oregano, dried",Unknown,Other,0
"Spices, paprika",Unknown,Other,0
"Spices, parsley, dried",Unknown,Other,0
"Spices, pepper, black",Unknown,Other,0
"Spices, pepper, red or cayenne",Unknown,Other,0
"Spices, poultry seasoning",Unknown,Other,0
"Spices, pumpkin pie spice",Unknown,Other,0
"Spices, sage, ground",Unknown,Other,0
"Spices, thyme, dried",Unknown,Other,0
"Spices, turmeric, ground",Unknown,Other,0
"Basil, fresh",Unknown,Other,0
"Mustard, prepared, yellow",Unknown,Other,0
"Salt, table, iodized",Unknown,Other,0
"Vinegar, cider",Unknown,Other,0
"Vanilla extract, imitation, no alcohol",Unknown,Other,0
"Vinegar, distilled",Unknown,Other,0
"Capers, canned",Unknown,Other,0
"Horseradish, prepared",Unknown,Other,0
Clif Z bar,Unknown,Other,0
"Babyfood, juice treats, fruit medley, toddler",Unknown,Food,0
"Babyfood, meat, beef, strained",Unknown,Food,0
"Babyfood, meat, beef, junior",Unknown,Food,0
"Babyfood, meat, veal, strained",Unknown,Food,0
"Babyfood, meat, ham, strained",Unknown,Food,0
"Babyfood, meat, lamb, strained",Unknown,Food,0
"Babyfood, meat, chicken, strained",Unknown,Food,0
"Babyfood, meat, chicken, junior",Unknown,Food,0
"Babyfood, meat, chicken sticks, junior",Unknown,Food,0
"Babyfood, meat, turkey, strained",Unknown,Food,0
"Babyfood, meat, turkey, junior",Unknown,Food,0
"Babyfood, meat, turkey sticks, junior",Unknown,Food,0
"Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars",Unknown,Food,0
"Babyfood, meat, meat sticks, junior",Unknown,Food,0
"Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon",Unknown,Food,0
"Babyfood, water, bottled, GERBER, without added fluoride",Unknown,Food,0
"Babyfood, tropical fruit medley",Unknown,Food,0
"Babyfood, dinner, macaroni and tomato and beef, strained",Unknown,Food,0
"Babyfood, dinner, macaroni and tomato and beef, junior",Unknown,Food,0
"Babyfood, ravioli, cheese filled, with tomato sauce",Unknown,Food,0
"Babyfood, dinner, beef noodle, strained",Unknown,Food,0
"Babyfood, macaroni and cheese, toddler",Unknown,Food,0
"Babyfood, dinner, spaghetti and tomato and meat, junior",Unknown,Food,0
"Babyfood, dinner, beef stew, toddler",Unknown,Food,0
"Babyfood, dinner, vegetables and beef, strained",Unknown,Food,0
"Babyfood, dinner, vegetables and beef, junior",Unknown,Food,0
"Babyfood, dinner, beef with vegetables",Unknown,Food,0
"Babyfood, dinner, chicken noodle, strained",Unknown,Food,0
"Babyfood, dinner, chicken noodle, junior",Unknown,Food,0
"Babyfood, dinner, chicken soup, strained",Unknown,Food,0
"Babyfood, dinner, chicken stew, toddler",Unknown,Food,0
"Babyfood, dinner, vegetables chicken, strained",Unknown,Food,0
"Babyfood, dinner, pasta with vegetables",Unknown,Food,0
"Babyfood, dinner, turkey and rice, strained",Unknown,Food,0
"Babyfood, dinner, turkey and rice, junior",Unknown,Food,0
"Babyfood, dinner, vegetables and turkey, strained",Unknown,Food,0
"Babyfood, dinner, vegetables and turkey, junior",Unknown,Food,0
"Babyfood, dinner, macaroni and cheese, strained",Unknown,Food,0
"Babyfood, dinner, macaroni and cheese, junior",Unknown,Food,0
"Babyfood, vegetables, green beans, strained",Unknown,Food,0
"Babyfood, vegetables, green beans, junior",Unknown,Food,0
"Babyfood, green beans, dices, toddler",Unknown,Food,0
"Babyfood, vegetable, green beans and potatoes",Unknown,Food,0
"Babyfood, vegetables, beets, strained",Unknown,Food,0
"Babyfood, vegetables, carrots, strained",Unknown,Food,0
"Babyfood, vegetables, carrots, junior",Unknown,Food,0
"Babyfood, vegetables, squash, strained",Unknown,Food,0
"Babyfood, vegetables, squash, junior",Unknown,Food,0
"Babyfood, vegetables, sweet potatoes strained",Unknown,Food,0
"Babyfood, vegetables, sweet potatoes, junior",Unknown,Food,0
"Babyfood, potatoes, toddler",Unknown,Food,0
"Babyfood, vegetable, butternut squash and corn",Unknown,Food,0
"Babyfood, apples, dices, toddler",Unknown,Food,0
"Babyfood, fruit, applesauce, strained",Unknown,Food,0
"Babyfood, fruit, applesauce, junior",Unknown,Food,0
"Babyfood, fruit, apricot with tapioca, strained",Unknown,Food,0
"Babyfood, vegetables, corn, creamed, strained",Unknown,Food,0
"Babyfood, vegetables, corn, creamed, junior",Unknown,Food,0
"Babyfood, vegetables, peas, strained",Unknown,Food,0
"Babyfood, peas, dices, toddler",Unknown,Food,0
"Babyfood, vegetables, spinach, creamed, strained",Unknown,Food,0
"Babyfood, fruit, apricot with tapioca, junior",Unknown,Food,0
"Babyfood, fruit, bananas with tapioca, strained",Unknown,Food,0
"Babyfood, fruit, peaches, strained",Unknown,Food,0
"Babyfood, fruit, peaches, junior",Unknown,Food,0
"Babyfood, fruit, pears, strained",Unknown,Food,0
"Babyfood, fruit, pears, junior",Unknown,Food,0
"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",Unknown,Food,0
"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior",Unknown,Food,0
"Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained",Unknown,Food,0
"Babyfood, prunes, without vitamin c, strained",Unknown,Food,0
"Babyfood, fruit dessert, mango with tapioca",Unknown,Food,0
"Babyfood, pears, dices, toddler",Unknown,Food,0
"Babyfood, fruit, applesauce and apricots, strained",Unknown,Food,0
"Babyfood, fruit, applesauce and apricots, junior",Unknown,Food,0
"Babyfood, fruit, applesauce and cherries, strained",Unknown,Food,0
"Babyfood, fruit, applesauce and cherries, junior",Unknown,Food,0
"Babyfood, fruit, applesauce with banana, junior",Unknown,Food,0
"Babyfood, fruit, apple and raspberry, strained",Unknown,Food,0
"Babyfood, fruit, apple and raspberry, junior",Unknown,Food,0
"Babyfood, fruit and vegetable, apple and sweet potato",Unknown,Food,0
"Babyfood, fruit, bananas and pineapple with tapioca, junior",Unknown,Food,0
"Babyfood, fruit, bananas and pineapple with tapioca, strained",Unknown,Food,0
"Babyfood, fruit, pears and pineapple, strained",Unknown,Food,0
"Babyfood, fruit, pears and pineapple, junior",Unknown,Food,0
"Babyfood, peaches, dices, toddler",Unknown,Food,0
"Babyfood, fruit, bananas with apples and pears, strained",Unknown,Food,0
"Babyfood, fruit, apple and blueberry, strained",Unknown,Food,0
"Babyfood, fruit, apple and blueberry, junior",Unknown,Food,0
"Babyfood, juice, apple",Unknown,Food,0
"Babyfood, apple-banana juice",Unknown,Food,0
"Babyfood, juice, apple and peach",Unknown,Food,0
"Babyfood, juice, apple and prune",Unknown,Food,0
"Babyfood, juice, orange",Unknown,Food,0
"Babyfood, juice, orange and apple and banana",Unknown,Food,0
"Babyfood, juice, mixed fruit",Unknown,Food,0
"Babyfood, cereal, barley, dry fortified",Unknown,Food,0
"Babyfood, cereal, whole wheat, with apples, dry fortified",Unknown,Food,0
"Babyfood, cereal, mixed, dry fortified",Unknown,Food,0
"Babyfood, cereal, mixed, with bananas, dry",Unknown,Food,0
"Babyfood, cereal, mixed, with applesauce and bananas, strained",Unknown,Food,0
"Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",Unknown,Food,0
"Babyfood, cereal, oatmeal, dry fortified",Unknown,Food,0
"Babyfood, cereal, oatmeal, with bananas, dry",Unknown,Food,0
"Babyfood, cereal, oatmeal, with applesauce and bananas, strained",Unknown,Food,0
"Babyfood, cereal, oatmeal, with applesauce and bananas, junior, fortified",Unknown,Food,0
"Babyfood, cereal, rice, dry fortified",Unknown,Food,0
"Babyfood, cereal, rice, with applesauce and bananas, strained",Unknown,Food,0
"Babyfood, oatmeal cereal with fruit, dry, instant, toddler fortified",Unknown,Food,0
"Babyfood, cookie, baby, fruit",Unknown,Food,0
"Babyfood, crackers, vegetable",Unknown,Food,0
"Babyfood, cereal, rice, with bananas, dry",Unknown,Food,0
"Babyfood, cookies",Unknown,Food,0
"Babyfood, pretzels",Unknown,Food,0
"Babyfood, teething biscuits",Unknown,Food,0
Zwieback,Unknown,Other,0
"Babyfood, dessert, dutch apple, strained",Unknown,Food,0
"Babyfood, dessert, dutch apple, junior",Unknown,Food,0
"Babyfood, cherry cobbler, junior",Unknown,Food,0
"Babyfood, dessert, cherry vanilla pudding, strained",Unknown,Food,0
"Babyfood, dessert, cherry vanilla pudding, junior",Unknown,Food,0
"Babyfood, dessert, peach cobbler, strained",Unknown,Food,0
"Babyfood, dessert, peach cobbler, junior",Unknown,Food,0
"Babyfood, dessert, fruit pudding, pineapple, strained",Unknown,Food,0
"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",Unknown,Food,0
"Babyfood, dessert, fruit dessert, without ascorbic acid, junior",Unknown,Food,0
"Babyfood, dessert, custard pudding, vanilla, strained",Unknown,Food,0
"Babyfood, dessert, custard pudding, vanilla, junior",Unknown,Food,0
"Babyfood, juice, apple and grape",Unknown,Food,0
"Babyfood, juice, fruit punch, with calcium",Unknown,Food,0
"Babyfood, juice, apple, with calcium",Unknown,Food,0
"Babyfood, dinner, vegetables and chicken, junior",Unknown,Food,0
"Babyfood, dinner, mixed vegetable, junior",Unknown,Food,0
"Babyfood, fruit, bananas with tapioca, junior",Unknown,Food,0
"Babyfood, vegetables, mix vegetables junior",Unknown,Food,0
"Babyfood, vegetables, garden vegetable, strained",Unknown,Food,0
"Babyfood, dinner, beef noodle, junior",Unknown,Food,0
"Babyfood, apples with ham, strained",Unknown,Food,0
"Babyfood, carrots and beef, strained",Unknown,Food,0
"Babyfood, plums, bananas and rice, strained",Unknown,Food,0
"Babyfood, dinner, turkey, rice, and vegetables, toddler",Unknown,Food,0
"Babyfood, dinner, apples and chicken, strained",Unknown,Food,0
"Babyfood, dinner, broccoli and chicken, junior",Unknown,Food,0
"Babyfood, beverage, GERBER, GRADUATES, FRUIT SPLASHERS",Unknown,Food,0
"Babyfood, snack, GERBER, GRADUATES, YOGURT MELTS",Unknown,Food,0
"Babyfood, dinner, sweet potatoes and chicken, strained",Unknown,Food,0
"Infant formula, MEAD JOHNSON, PREGESTIMIL, with iron, powder, not reconstituted",Unknown,Other,0
"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, with iron, powder, not reconstituted, with ARA and DHA",Unknown,Other,0
"Infant formula, MEAD JOHNSON, ENFAMIL, PROSOBEE LIPIL, with iron, powder, not reconstituted, with ARA and DHA",Unknown,Other,0
"Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed",Unknown,Other,0
"Infant formula, NESTLE, GOOD START SOY, with ARA and DHA, powder",Unknown,Other,0
"Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed, with iron and fiber",Unknown,Other,0
"Babyfood, corn and sweet potatoes, strained",Unknown,Food,0
"Infant formula, ABBOTT NUTRITION, SIMILAC, ALIMENTUM, ADVANCE, ready-to-feed, with ARA and DHA",Unknown,Other,0
"Infant formula, MEAD JOHNSON, ENFAMIL, AR, powder, with ARA and DHA",Unknown,Other,0
"Infant formula, ABBOTT NUTRITION, SIMILAC, NEOSURE, powder, with ARA and DHA",Unknown,Other,0
"Infant formula, ABBOTT NUTRITION, SIMILAC, SENSITIVE, (LACTOSE FREE), powder, with ARA and DHA",Unknown,Other,0
"Infant formula, ABBOTT NUTRITION, SIMILAC, ADVANCE, with iron, powder, not reconstituted",Unknown,Other,0
"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, ADVANCE with iron, powder, not reconstituted",Unknown,Other,0
"Infant Formula, MEAD JOHNSON, ENFAMIL, ENFACARE LIPIL, ready-to-feed, with ARA and DHA",Unknown,Other,0
"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified",Unknown,Food,0
"Babyfood, mashed cheddar potatoes and broccoli, toddlers",Unknown,Food,0
"Babyfood, fortified cereal bar, fruit filling",Unknown,Food,0
"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified",Unknown,Food,0
"Toddler formula, MEAD JOHNSON, ENFAGROW, PREMIUM (formerly ENFAMIL, LIPIL, NEXT STEP), powder",Unknown,Other,0
"Infant Formula, MEAD JOHNSON, ENFAMIL, GENTLEASE, powder",Unknown,Other,0
"Infant formula, MEAD JOHNSON, ENFAMIL, Premature, 20 calories ready-to-feed",Unknown,Other,0
"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Newborn, ready-to-feed",Unknown,Other,0
"Infant formula, GERBER, GOOD START 2 Soy, with iron, ready-to-feed",Unknown,Other,0
"Infant formula, ABBOTT NUTRITION, SIMILAC, Expert Care, Diarrhea, ready- to- feed with ARA and DHA",Unknown,Other,0
"Babyfood, fruit, banana and strawberry, junior",Unknown,Food,0
"Babyfood, banana with mixed berries, strained",Unknown,Food,0
"Babyfood, Multigrain whole grain cereal, dry fortified",Unknown,Food,0
"Babyfood, Baby MUM MUM Rice Biscuits",Unknown,Food,0
"Babyfood, Snack, GERBER, GRADUATES, LIL CRUNCHIES, baked whole grain corn snack",Unknown,Food,0
"Infant formula, ABBOTT NUTRITION, SIMILAC, For Spit Up, powder, with ARA and DHA",Unknown,Other,0
"Fat, beef tallow",Unknown,Other,0
Lard,Unknown,Other,0
"Salad dressing, KRAFT Mayo Fat Free Mayonnaise Dressing",Unknown,Other,0
"Salad dressing, russian dressing",Unknown,Other,0
"Salad dressing, sesame seed dressing, regular",Unknown,Other,0
"Salad dressing, thousand island, commercial, regular",Unknown,Other,0
"Salad dressing, mayonnaise type, regular, with salt",Unknown,Other,0
"Salad dressing, french dressing, reduced fat",Unknown,Other,0
"Salad dressing, italian dressing, commercial, reduced fat",Unknown,Other,0
"Salad dressing, russian dressing, low calorie",Unknown,Other,0
"Salad dressing, thousand island dressing, reduced fat",Unknown,Other,0
"Salad dressing, mayonnaise, regular",Unknown,Other,0
"Salad dressing, mayonnaise, imitation, soybean",Unknown,Other,0
"Sandwich spread, with chopped pickle, regular, unspecified oils",Unknown,Other,0
"Oil, wheat germ",Unknown,Other,0
"Oil, peanut, salad or cooking",Unknown,Other,0
"Oil, soybean, salad or cooking",Unknown,Other,0
"Oil, coconut",Unknown,Other,0
"Oil, olive, salad or cooking",Unknown,Other,0
"Oil, sesame, salad or cooking",Unknown,Other,0
"Salad dressing, italian dressing, commercial, regular",Unknown,Other,0
"Salad dressing, french dressing, commercial, regular",Unknown,Other,0
"Margarine,spread, 35-39% fat, tub",Unknown,Other,0
"Salad dressing, home recipe, vinegar and oil",Unknown,Other,0
"Salad dressing, french dressing, fat-free",Unknown,Other,0
"Oil, cottonseed, salad or cooking",Unknown,Other,0
"Oil, sunflower, linoleic, (approx. 65%)",Unknown,Other,0
"Oil, safflower, salad or cooking, high oleic (primary safflower oil of commerce)",Unknown,Other,0
"Oil, corn, industrial and retail, all purpose salad or cooking",Unknown,Other,0
"Oil, walnut",Unknown,Other,0
"Oil, almond",Unknown,Other,0
"Salad dressing, blue or roquefort cheese dressing, commercial, regular",Unknown,Other,0
"Fat, chicken",Unknown,Other,0
"Oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed",Unknown,Other,0
"Shortening industrial, soybean (hydrogenated) and cottonseed",Unknown,Other,0
"Fat, turkey",Unknown,Other,0
"Oil, canola",Unknown,Other,0
"Butter, light, stick, with salt",Unknown,Other,0
"Animal fat, bacon grease",Unknown,Other,0
"Margarine, regular, 80% fat, composite, stick, with salt",Unknown,Other,0
"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",Unknown,Other,0
"Shortening, vegetable, household, composite",Unknown,Other,0
"Margarine, regular, 80% fat, composite, stick, without salt",Unknown,Other,0
"Salad dressing, thousand island dressing, fat-free",Unknown,Other,0
"Salad dressing, italian dressing, fat-free",Unknown,Other,0
"Salad dressing, ranch dressing, regular",Unknown,Other,0
"Salad dressing, mayonnaise, light",Unknown,Other,0
"Oil, industrial, coconut, confection fat, typical basis for ice cream coatings",Unknown,Other,0
"Oil, PAM cooking spray, original",Unknown,Other,0
"Salad dressing, honey mustard dressing, reduced calorie",Unknown,Other,0
"Margarine-like, vegetable oil spread, approximately 37% fat, unspecified oils, with salt, with added vitamin D",Unknown,Other,0
"Margarine, regular, 80% fat, composite, stick, with salt, with added vitamin D",Unknown,Other,0
"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",Unknown,Other,0
"Oil, industrial, canola, high oleic",Unknown,Other,0
"Oil, industrial, soy, low linolenic",Unknown,Other,0
"Oil, industrial, soy, ultra low linolenic",Unknown,Other,0
"Oil, industrial, soy, fully hydrogenated",Unknown,Other,0
"Salad dressing, honey mustard, regular",Unknown,Other,0
"Salad dressing, poppyseed, creamy",Unknown,Other,0
"Salad dressing, caesar, fat-free",Unknown,Other,0
"Dressing, honey mustard, fat-free",Unknown,Other,0
"Mayonnaise, reduced fat, with olive oil",Unknown,Other,0
"Salad dressing, mayonnaise-type, light",Unknown,Other,0
"Chicken, broiler, rotisserie, BBQ, breast, meat only",Unknown,Other,0
"Chicken, broilers or fryers, skin only, raw",Unknown,Other,0
"Chicken, broilers or fryers, skin only, cooked, roasted",Unknown,Other,0
"Chicken, broilers or fryers, giblets, cooked, simmered",Unknown,Other,0
"Chicken, gizzard, all classes, cooked, simmered",Unknown,Other,0
"Chicken, liver, all classes, raw",Unknown,Other,0
"Chicken, liver, all classes, cooked, simmered",Unknown,Other,0
"Chicken, broilers or fryers, back, meat and skin, cooked, roasted",Unknown,Other,0
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",Unknown,Other,0
"Chicken, broilers or fryers, drumstick, meat and skin, cooked, roasted",Unknown,Other,0
"Chicken, broilers or fryers, dark meat, drumstick, meat only, cooked, roasted",Unknown,Other,0
"Chicken, broilers or fryers, neck, meat and skin, cooked simmered",Unknown,Other,0
"Chicken, broilers or fryers, thigh, meat and skin, raw",Unknown,Other,0
"Chicken, broilers or fryers, thigh, meat and skin, cooked, roasted",Unknown,Other,0
"Chicken, broilers or fryers, thigh, meat only, cooked, roasted",Unknown,Other,0
"Chicken, broilers or fryers, wing, meat and skin, cooked, roasted",Unknown,Other,0
"Chicken, broilers or fryers, wing, meat and skin, cooked, stewed",Unknown,Other,0
