ingredients,safe_ingredients,harmful_ingredients,general_health_assessment,toxicity_score,allergen_risk,regulatory_status
"Cooked durum wheat semolina, vegetables (tomatoes, onions, corn, peppers), rapeseed oil, wine vinegar, raisins, spices, powdered seasoning, concentrated lemon juice, table salt, spice extracts, herbs","['Cooked durum wheat semolina', 'Vegetables (tomatoes, onions, corn, peppers)', 'Rapeseed oil']",['None'],"Overall, the ingredients in this product seem safe to consume. However, it is important for individuals with allergies or intolerances to certain components such as wheat, soybeans, and nuts to exercise caution before consuming.",Low,Moderate,Approved
"Salt, paprika, sugar, brown sugar, chili pepper, dried garlic, dried onion, cayenne pepper, maltodextrin, black pepper, silicon dioxide, white distilled vinegar, natural flavor, rosemary extract, green tea extract","['Salt', 'Paprika', 'Sugar']",['None'],"Overall, the ingredients seem safe for consumption. However, it is important to note that consuming too much salt and spicy foods may lead to negative health effects such as high blood pressure or heartburn.",Low,Low,Approved
"Pork meat, salt, spices, dextrose, preservative (E250), antioxidant (E301)","['Pork meat', 'Salt']","['E250', 'E301']","The product contains potentially harmful ingredient E250 (sodium nitrite), which is generally safe for consumption in small amounts but may have health risks in high doses. The antioxidant E301 (sodium ascorbate) is safe for consumption.",Low,Moderate,Approved
"Coconut pralines, coated with milk chocolate. Ingredients: milk chocolate (cane sugar, cocoa butter, whole milk powder, cocoa mass), coconut flakes, wheat syrup, white chocolate (cane sugar, cocoa butter, whole milk powder)","['Coconut pralines', 'Milk chocolate (cane sugar, cocoa butter, whole milk powder, cocoa mass)']",['None'],No specific health concerns found for these ingredients.,Low,Moderate,Approved
"Maize snack with cheese flavor. Ingredients: maize flour, sunflower oil, cheese powder (cheddar cheese), salt, dextrose, tomato powder, flavor enhancer (E621, E635), whey powder, onion and garlic powder, flavors, color (paprika extract), acidulant (citric acid)","['Maize flour', 'Sunflower oil']","['E621', 'E635']",No specific health concerns found for these ingredients.,Low,Moderate,Approved
"Hay milk, table salt, animal rennet, cheese cultures","['Hay milk', 'Table salt']",['None'],The ingredients Hay milk and table salt are generally safe for consumption. Animal rennet and cheese cultures are also safe for consumption.,Low,Low,Approved
UHT sterilized whole milk,['UHT sterilized whole milk'],['None'],"Overall, this product appears to be safe for consumption as it contains only two ingredients: lactose and calcium carbonate. Lactose is a common dairy ingredient that can cause digestive issues in some people who are intolerant of milk products. However, if you do not have any known sensitivity or allergy to lactose, this product should be safe for consumption.",Low,Low,Approved
"TOFU (water, soybeans), brine (water, salt)","['TOFU', 'Brine']",['None'],Both TOFU and brine are safe to consume as they do not contain any harmful ingredients.,Low,Low,Approved
"Whole grain oat flour, wheat starch, sugar, modified cornstarch, oat fiber, salt, oat extract, calcium carbonate, dicalcium phosphate, tripotassium phosphate, iron and zinc, vitamin C, niacinamide, vitamin E, vitamin A palmitate, pyridoxine hydrochloride, riboflavin, thiamine mononitrate, folic acid, vitamin D, vitamin B12","['Whole grain oat flour', 'Wheat starch']",['None'],"Overall, the product appears to be safe for consumption as it contains whole grains and nutrients. However, individuals with gluten sensitivity or celiac disease should exercise caution when consuming wheat starch.",Low,Low,Approved
"Almonds. May contain hazelnuts, peanuts, and other nuts",['Almonds'],['None'],"The product contains nuts, which can be harmful to people with allergies. However, the other listed ingredient is safe.",Low,Moderate,Approved
"Pork meat, salt, lactose, pepper, sugar, dextrose, garlic, nutmeg, antioxidant (ascorbic acid), preservatives (sodium nitrite, potassium nitrate), ferments, natural pork casing, powder coating (talc, calcium carbonate)","['Pork meat', 'Salt', 'Lactose']","['Sodium nitrite', 'Potassium nitrate']","Overall, the ingredients in this product are generally safe to consume. However, individuals with lactose intolerance may need to avoid or limit their consumption of dairy products such as lactose. Additionally, excessive sugar and dextrose can contribute to weight gain if consumed in large amounts.",Low,Moderate,Approved
"Tomato puree, water, meatballs (beef, pork, water, breadcrumbs, textured soy protein, soy protein concentrate, salt, soy protein isolate, potassium chloride, natural flavor, spice extract, caramel color), enriched pasta product, high fructose corn syrup, contains 2% or less of: salt, modified corn starch, potassium chloride, natural flavor, citric acid, enzyme modified cheddar cheese, onion powder, ascorbic acid, garlic powder, beta carotene","['Tomato puree', 'Water']",['High fructose corn syrup'],"Overall, the ingredients appear to be safe for consumption. However, it is important to note that high fructose corn syrup and enriched pasta products may not provide much nutritional value.",Low,Moderate,Approved
"Potatoes, sunflower oil, table salt, sweet whey powder, sea salt, dextrose, sugar, onion powder, garlic powder, parsley, thyme, rosemary, natural flavor","['Potatoes', 'Sunflower oil', 'Table salt']",['None'],"Overall, the ingredients appear to be safe for consumption. However, it's important to note that some people may have allergies or intolerances to certain components such as gluten in flour-based products like sweet whey powder and sugar.",Low,Moderate,Approved
"Wheat flour, water, salt, wheat ferment, yeast","['Wheat flour', 'Water', 'Salt']",['None'],"The product appears to be safe for consumption. However, it is important to note that this analysis only considers the safety of these specific ingredients and does not account for potential allergies or other individual health concerns.",Low,Low,Approved
"Potatoes, turmeric, iodized salt, emulsifier (mono- and diglycerides of fatty acids), stabilizer (disodium diphosphate), antioxidants (ascorbic acid, sodium metabisulfite, rosemary extract)","['Potatoes', 'Turmeric', 'Iodized salt']",['Sodium metabisulfite'],"Overall, the ingredients appear to be safe for consumption. However, it's important to note that some people may have allergies or intolerances to certain components of these products.",Low,Low,Approved
"Açai berries, powder","['Açai berries', 'Powder']",['None'],"Overall, the product appears to be safe for consumption. The açai berries are immediately treated after collection and processed using advanced techniques that preserve their nutritional benefits. However, it is important to note that excessive intake of any food or drink can have negative health effects.",Low,Low,Approved
"Pork meat, pork fat, pork liver, onions, preservative (E250), dextrose, pepper, flavors, emulsifiers (E450, E451), parsley, salt, antioxidants (E300, E301)","['Pork meat', 'Pork fat']","['E250', 'E450', 'E451', 'E300', 'E301']","The product contains pork meat, which is generally safe to consume. However, it also includes pork liver, which may contain high levels of cholesterol and should be consumed in moderation. The preservative E250 (sodium nitrite) and emulsifiers may have negative effects on overall health when consumed excessively.",Low,Moderate,Approved
"BUTANE, DENATURED ALCOHOL, TRIETHYL CITRATE, FRAGRANCE, VANILLA TAHITENSIS FRUIT EXTRACT, WATER, CITRIC ACID, GLYCERIN, COUMARIN, LIMONENE, LINALOOL, POTASSIUM SORBATE, SODIUM BENZOATE","['BUTANE', 'DENATURED ALCOHOL']",['None'],The ingredients BUTANE and DENATURED ALCOHOL are potentially harmful. It is important to avoid consuming products that contain these chemicals.,High,High,Not Approved
"Sugar, glucose syrup, wheat flour, acidulants (citric acid, malic acid), palm fat, fruit sugars (fructose, glucose, sucrose), dextrose, acidity regulator (sodium malates), potato starch, pork gelatin, natural flavors, emulsifier (mono- and diglycerides of fatty acids), concentrates of radish, spirulina, carrot, apple, blackcurrant, hibiscus, colors (lutein, curcumin)","['Sugar', 'Glucose syrup']",['None'],"Overall, the product appears to be safe for consumption as all of its ingredients are commonly used in food products and do not have any known harmful effects when consumed. However, it is important to note that excessive intake of sugar can lead to health issues such as obesity and diabetes.",Low,Moderate,Approved
"Sugar, wheat flour, cocoa paste, non-hydrogenated vegetable fat/oil (palm, coconut), cocoa butter, maltodextrin, glucose syrup, butter, dextrose, hazelnuts, skimmed milk powder, concentrated butter, low-fat cocoa powder, invert sugar syrup, table salt, whey, emulsifier (lecithins), whole milk powder","['Sugar', 'Wheat flour']",['None'],"The product contains refined sugars and wheat flour, which are not harmful in moderate amounts. However, individuals with allergies to these should avoid consuming this product.",Low,Moderate,Approved
"Salmon, water, rapeseed oil, white wine, egg yolk, lemon juice, fish stock, salt, flavors (flavor enhancer: E621), potato maltodextrin, herbs, dextrose, color (turmeric extract), egg white, fresh cream, alcohol vinegar, modified cassava starch, milk proteins, flavor (contains fish), paprika, thickeners (xanthan gum, guar gum), pepper","['Salmon', 'Water']",['E621'],"Overall, this product appears to be safe for consumption as it contains only two main ingredients, salmon and water. However, the presence of additives such as flavor enhancers (E621), thickeners like xanthan gum or guar gum, preservatives like sodium benzoate, colorants, emulsifiers etc., may raise some concerns about potential health risks if consumed in excessive amounts. It is recommended to consume this product moderately and check the label for any other ingredients that might be harmful.",Low,Moderate,Approved
"Rainbow Trout, salt",['Rainbow Trout'],['None'],"The product contains Rainbow Trout, which is a safe ingredient. However, it's important to note that people with allergies or intolerances may need to avoid this ingredient.",Low,Low,Approved
"Filling: cooked scrambled eggs, cooked pinto beans, roasted potatoes, green chiles, cheddar cheese, jalapeno peppers, corn starch, onions, tomatoes in juice, crushed tomatillos, carrots, lime juice from concentrate, salt, garlic, spices. Tortilla: wheat flour, water, canola oil, sugar, cultured wheat flour, guar gum, distilled vinegar, salt, yeast, ascorbic acid, corn protein, enzyme","['Cooked scrambled eggs', 'Pinto beans', 'Roasted potatoes']",['None'],"Overall, the ingredients appear to be safe for consumption. However, individuals with allergies or intolerances should exercise caution when consuming this product as it contains wheat flour and corn starch.",Low,Moderate,Approved
"Water, rapeseed oil, thickeners (carrageenan, konjac), pea protein, modified starch, iodized table salt, natural flavors (contain mustard), field bean protein, dextrose, starch, spices, acidity regulator (sodium acetates), linseed meal, onions, sugar, spice extracts, herbs, coloring foods (paprika juice concentrate, beetroot juice concentrate), beechwood smoke","['Water', 'Rapeseed oil']",['None'],"Overall, the ingredient list appears to be safe for consumption.",Low,Low,Approved
"Turkey meat, chicken meat, breadcrumbs, poultry fat, onions, water, iodized salt, spices, wheat starch, mustard, dextrose, palm oil, whole egg","['Turkey meat', 'Chicken meat', 'Breadcrumbs']",['None'],"The product contains mostly safe and common food items. However, it is important to note that consuming too much processed meat can increase the risk of heart disease and certain types of cancer.",Low,Moderate,Approved
"Wheat flour, vegetable fat (palm and palm olein, antioxidant: E306), barley malt extract, salt, glucose-fructose syrup, sugar, raising agents (E500ii, E503ii), yeast, flour treatment agent (sodium disulfite)","['Wheat flour', 'Vegetable fat (palm and palm olein)', 'Barley malt extract']","['E306', 'E500ii', 'E503ii', 'Sodium disulfite']","Overall, the ingredients appear to be safe for consumption. However, it is important to note that excessive intake of sugar and sodium can lead to health issues such as obesity, high blood pressure, and diabetes.",Low,Moderate,Approved
"Celtic sea salt, organic paprika, organic garlic, organic cayenne, organic spices","['Celtic sea salt', 'Organic paprika']",['None'],"The ingredients provided are generally safe to consume. However, it's important for people with certain medical conditions such as high blood pressure or heart disease to limit their intake of sodium (Celtic Sea Salt). Organic paprika is a good source of antioxidants and has anti-inflammatory properties.",Low,Low,Approved
"Vegetables (potato, carrot, celery root, onion, green bean, broccoli, leek), water, cream, corn starch, salt, yeast extract","['Vegetables (potato, carrot, celery root, onion, green bean, broccoli, leek)', 'Water']",['None'],"Overall, this product appears to be safe for consumption as it contains only natural and commonly used food additives. However, individuals with allergies or intolerances should still exercise caution when consuming these products.",Low,Low,Approved
"Sugared yogurt (pasteurized milk, pasteurized cream, sugar, skimmed milk powder, lactic ferments), coffee preparation (water, sugar, oligofructose syrup, modified corn starch, thickeners (carrageenan, guar gum, xanthan gum), coffee extract, burnt sugar syrup, acidity regulators (citric acid, sodium citrates), flavor","['Pasteurized milk', 'Pasteurized cream']",['None'],"Overall, the ingredients appear to be safe for consumption. However, it's important to note that excessive intake of sugar and caffeine can lead to health issues such as obesity and increased heart rate.",Low,Moderate,Approved
"Apple juice, peach, orange, pineapple, banana, kiwi, mango, passion fruit","['Apple juice', 'Peach', 'Orange', 'Pineapple', 'Banana']",['None'],"All ingredients in the list are safe to consume. They include a variety of fruits which provide essential vitamins, minerals, and fiber that support overall health.",Low,Low,Approved
"Water, vinegars (corn-cider, distilled), sugar, high fructose corn syrup, corn syrup solids, egg yolk, soybean oil, salt, modified corn starch, microcrystalline cellulose, spice (includes mustard seed), cellulose gum, xanthan gum, propylene glycol alginate, sodium benzoate, artificial color, calcium disodium edta","['Water', 'Vinegars (corn-cider, distilled)', 'Sugar']","['High fructose corn syrup', 'Sodium benzoate']","The ingredients in this product appear to be generally safe for consumption. However, it is important to note that high fructose corn syrup may contribute excess calories and sugar intake if consumed in large amounts.",Low,Moderate,Approved
"Semolina (wheat), durum wheat flour, tomato puree, carrot puree, niacin, iron (ferrous sulfate), thiamine mononitrate, riboflavin, folic acid","['Semolina', 'Durum wheat flour']",['None'],"This product appears to be safe for consumption as all ingredients listed are commonly used in food production and do not pose any immediate health risks. However, individuals with gluten sensitivity or celiac disease should exercise caution when consuming this product due to the presence of wheat.",Low,Low,Approved
"Cocoa paste, cocoa butter, cane sugar","['Cocoa paste', 'Cocoa butter', 'Cane sugar']",['None'],"Overall, the product appears to be safe for consumption. However, it is important to note that excessive intake of sugar can lead to health issues such as obesity and diabetes.",Low,Low,Approved
"Wheat Flour, Butter (Milk), PARMESAN CHEESE (MILK), Dried Cheese (Milk), Wheat Gluten, Yeast, Pasteurised Liquid Whole Egg, Milk Powder, Onion Powder, Potato Starch, Sea Salt, Flavouring, DRIED GARLIC, GARLIC POWDER, Ground Nutmeg, Ground White Pepper, Emulsifier (Mono- and Diglycerides of Fatty Acids), Mushroom Powder, Dried Lovage, Colour (Paprika Extract), Salt","['Wheat Flour', 'Butter (Milk)', 'PARMESAN CHEESE (MILK)']",['None'],"Overall, the ingredients seem to be safe for consumption. However, individuals with allergies or intolerances should exercise caution when consuming this product.",Low,Moderate,Approved
"Sugar, potato starch, tapioca flour, whole grain sorghum flour, baking powder (monocalcium phosphate, baking soda, cornstarch), salt, xanthan gum, natural vanilla flavor powder (sugar, cornstarch, vanilla oleoresin)","['Potato starch', 'Tapioca flour']",['None'],"Overall, these ingredients appear to have minimal potential harm when used in moderation. However, it is important for individuals with allergies or intolerances to sorghum and cornstarch to avoid consuming this product.",Low,Low,Approved
"Vapor distilled water, magnesium","['Vapor distilled water', 'Magnesium']",['None'],"The product appears to contain safe and healthy ingredients. Vapor distilled water is a common ingredient in many food products, including beverages such as tea or coffee drinks, which are generally considered harmless when consumed moderately. Magnesium chloride (magnesium) can also provide health benefits if taken appropriately.",Low,Low,Approved
"Filtered water, citric acid, potassium benzoate, sucralose, acesulfame potassium, natural lemon flavor with other natural flavors, magnesium oxide, vitamin E acetate, niacinamide, calcium D-pantothenate, pyridoxine hydrochloride, cyanocobalamin","['Filtered water', 'Citric acid']",['None'],"Overall, the ingredients appear to be safe for consumption. Citric acids are commonly used as preservatives and flavor enhancers, while potassium benzoate is also a common food additive that can help prevent bacterial growth.",Low,Low,Approved
Turmeric,['Turmeric'],['None'],"Overall, the ingredients in this product appear to be safe. The use of organic farming practices may also add additional health benefits.",Low,Low,Approved
"Cream, chocolate powder (sugar, cocoa), sugar, modified starch, low-fat cocoa, starch","['Cream', 'Chocolate powder (sugar, cocoa)']",['None'],"Overall, the ingredients appear to be safe for consumption. However, it is important to note that consuming large amounts of chocolate or cocoa can lead to potential health issues such as heart palpitations and increased blood pressure.",Low,Moderate,Approved
"Fried eggplant, tomatoes, rice concentrate, basil, salt, sunflower oil, pepper, concentrated lemon juice","['Fried eggplant', 'Tomatoes']",['None'],"The product contains a variety of safe and healthy ingredients, including vegetables like fried eggplant which are low in calories but high in fiber content. Tomatoes also provide vitamins C & K as well as antioxidants that can help prevent chronic diseases.",Low,Low,Approved
"Whole milk, cream, skimmed milk powder, lactic ferments","['Whole milk', 'Cream']",['None'],No specific health concerns found for these ingredients.,Low,Low,Approved
"Sugar, pasteurized eggs, vegetable oil, corn starch, rice flour, chocolate chips, stabilizer (sorbitol), water, raising agents (disodium diphosphate, sodium bicarbonate), emulsifier (mono and diglycerides of fatty acids), thickener (xanthan gum), preservative (potassium sorbate), flavors","['Sugar', 'Pasteurized eggs', 'Vegetable oil']",['None'],"Overall, the product appears to be safe for consumption. However, it is important to note that excessive intake of sugar can lead to health issues such as obesity and diabetes.",Low,Moderate,Approved
"Corn, vegetable oil (corn, canola, sunflower oil), maltodextrin, salt, sugar, natural flavors, dextrose, sour cream, whey, spice, yeast extract","['Corn', 'Vegetable oil (corn, canola, sunflower oil)']",['None'],"Overall, the product appears to be safe for consumption, with no harmful ingredients listed. However, it is important to note that this analysis only considers potential health risks from these specific ingredients and does not take into account other factors such as allergens or contaminants.",Low,Moderate,Approved
"Carbonated water, sugar, citric acid, flavors, natural mint flavor, preservative (E211), colors (E150d, E104, E133)","['Carbonated water', 'Natural mint flavor']","['E211', 'E150d', 'E104', 'E133']","The product contains potentially harmful ingredients such as E211 (sodium benzoate) and artificial colors (E104, E133). However, the other listed ingredients are generally safe for consumption.",Low,Moderate,Approved
"Water, fermented oats, coconut milk, sugar, modified starch, sunflower oil, stabilizer (gellan), table salt, flavor, vitamin B1 (thiamine), vitamin B2 (riboflavin), vitamin B6, vitamin B12","['Water', 'Fermented oats', 'Coconut milk']",['None'],"Overall, the product appears to be safe for consumption. However, it is important to note that some individuals may have allergies or intolerances towards certain ingredients such as fermented oats, coconut milk, and modified starch.",Low,Moderate,Approved
"Wheat flour, water, yeast, corn semolina, dextrose, sugar, iodized table salt, acidulant (malic acid), acidity regulator (sodium acetates)","['Wheat flour', 'Water', 'Yeast', 'Corn semolina']",['None'],"The product appears to be safe for consumption. However, it is important to note that high intake of sugar and sodium can lead to health issues such as obesity and hypertension.",Low,Moderate,Approved
"Khorasan wheat flour KAMUT, extra virgin olive oil, sea salt, malted barley flour, pea fiber, malted wheat flour, barley malt extract, yeast, natural flavor, acidity regulator (sodium bicarbonate)","['Khorasan wheat flour KAMUT', 'Extra virgin olive oil']",['None'],"Overall, the ingredients appear to be safe for consumption. However, it is important to note that some people may have allergic reactions or sensitivities to certain grains such as wheat (which khorasan and kamut are related). Additionally, while sodium bicarbonate can generally be considered a harmless ingredient in small amounts, those with kidney issues should exercise caution. It is always recommended to read the ingredients list carefully before consuming any product.",Low,Low,Approved
Chicken stew,['Chicken stew'],['None'],No specific health concerns found for these ingredients.,Low,Low,Approved
"Bleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), palm oil shortening, sugar, eggs, corn syrup, confectionery coating (dextrose, corn starch, palm oil, titanium dioxide, artificial flavor, calcium propionate), colored sugar (sugar, yellow 5 lake, blue 1 lake, red 3, red 40 lake, carnauba wax, lac resin), cocoa drops (sugar, vegetable oil, cocoa powder processed with alkali, dextrose, cocoa powder, whey, soy lecithin, vanilla), salt, cocoa processed with alkali, candy sprinkles (sugar, cornstarch, palm oil, palm kernel oil, sunflower lecithin, dextrin, lac-resin, red 40 lake, yellow 5 lake, blue 1 lake, natural and artificial flavor, carnauba wax), natural and artificial flavors, baking soda, spices, yellow 5, yellow 6, red 40","['Bleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid)', 'Palm oil shortening', 'Sugar']",['None'],"Overall, the ingredients seem to be safe for consumption. However, it is important to note that excessive intake of sugar can lead to health problems such as obesity, type 2 diabetes, and tooth decay.",Low,Moderate,Approved
"Tuna, water, table salt","['Tuna', 'Water']",['None'],"The ingredients appear to be safe for consumption. Tuna is a good source of protein and omega-3 fatty acids, while water provides hydration. Table salt (salt) can contribute sodium intake which should be monitored in certain populations.",Low,Low,Approved
