ingredients,safe_ingredients,harmful_ingredients,general_health_assessment,toxicity_score,allergen_risk,regulatory_status
"wheat flour acf oorentes butter (milk) (26%), chocolaie (227, ugar, cocoa, cocoa butter, emulsifier (soya lecithin)), water, sugar, yeast, wheat gluten, pasteurised free range egg, salt, flour treatment agent (ascorbic acid) typical values as sold energy k energy kcal fat","['wheat flour', 'acf oorentes butter (milk)', 'chocolaie']",[],"Overall, the product appears to be safe for consumption. However, individuals with wheat allergies or celiac disease should exercise caution when consuming this product as it contains gluten.",Unknown,Unknown,Unknown
"Dressing Sylter Art 32% (Wasser, Rapsöl, Zwiebeln, Zucker, Weißweinessig, Branntweinessig, Stärke, modifizierte Stärke, _Eigelb_, Speisesalz, _Senfsaaten_, Kräuter, Gewürze, Säuerungsmittel Citronensäure, Säureregulator Natriumacetat, Verdickungsmittel (Guarkernmehl, Xanthan)), gegarte Nudeln 24 % (Wasser, _Hartweizengrieß_, Rapsöl), Salatmischung 22 % (Feldsalat, Frisée, Radicchio), Gouda 11 % (pasteurisierte _Kuhmilch_, Stärke, Speisesalz, Starterkulturen, mikrobieller Labaustauschstoff), Croutons 6 % (_Weizenmehl_, Sonnenblumenöl, Speisesalz, Hefe), _Walnüsse_ 5 %.","['Wasser', '_Hartweizengrieß']",[],"Overall, the ingredients appear to be safe for consumption. However, it's important to note that some individuals may have allergies or intolerances to certain components such as soy (rapsesedol) and gluten (wheat). Additionally, excessive salt can lead to high blood pressure if consumed in excess.",Unknown,Unknown,Unknown
"AGUA CARBONATADA, COLOR CARAMELO, ACIDO FOSFORICO COMO ACIDULANTE, ASPARTAME Y Información Nutricional ACESULFAME K COMO EDULCORANTES, SABORIZANTES (INCLUYENDO CAFEINA), BENZOATO DE SODIO COMO Tamaño de orión PRESERVANTE Y CITRATO DE SODIO COMO REGULADOR DE ACIDEZ. FENILCETONURICOS: CONTIENE FENILALANINA.","['AGUA', 'COLOR']","['ACIDO FOSFORICO COMO ACIDULANTE', 'ASPARTAME Y Información Nutricional ACESULFAME K COM EDULCORANTES, SABORIZANTES (INCLUYENDO CAFEINA)']","The product contains several potentially harmful ingredients. Aspartame and acido fosforico como acidulante are known to cause negative health effects in some people such as headaches, migraines, stomach discomforts, bloating gas, diarrhea or even cancerous tumors. The preservative benzoato de sodio can also be harmful if consumed excessively and may lead to hyperactivity, anxiety disorders, depression, seizures, skin rashes, asthma attacks, allergic reactions, hives, swelling of the lips, tongue, throat, or face.",Unknown,Unknown,Unknown
"Riz rond complet, sarrasin (20%), tamari&quot; (soja jaune,eau, sel marin, sake distillé (shochu: alcool de riz), ferment : Aspergillus Oryzae (koji) )produits issus de l'Agriculture Biologique. Traces possibles de céréales contenant du gluten, soja, fruits à coques, sésame Itilisation",[],[],Error: Expecting value: line 1 column 1 (char 0),Unknown,Unknown,Unknown
"Minced alaska pollock, enriched wheat flour (flour, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid), water, vegetable oil (canola, cottonseed, and/or soybean), enriched bleached wheat flour (flour, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid), wheat flour, yellow corn flour, contains 2% or less of: salt, caramel color, corn starch, natural flavors, leavening (sodium aluminum phosphate, sodium bicarbonate), dextrose, onion powder, sugar, modified cellulose, yeast, paprika extract (color), annatto extract (color), and turmeric extract (color).","['Minced alaska pollock', 'enriched wheat flour (flour, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid)', 'water']",[],"Overall the ingredients appear to be safe for consumption. However it is important to note that some individuals may have allergies or intolerances to certain components such as wheat flour, corn starch and modified cellulose.",Unknown,Unknown,Unknown
Turmeric Cardamom Roasted Cloves Coriander Cumin Chillies Black Pepper Mace Mustard Salt.,"['Turmeric', 'Cardamom']",[],"Overall, these spices are generally safe to consume in small amounts as part of a balanced diet. However, excessive consumption may cause digestive issues or allergies.",Unknown,Unknown,Unknown
"Durum flour (durum flour, niacin, ferrous sulfate [iron], thiamin mononitrate, riboflavin, folic acid), ricotta cheese (pasteurized whey, whey protein concentrate, salt, vinegar), water, pasteurized whole milk, american cheese (cultured milk, water, cream, skim milk, sodium phosphates, casein, salt, vegetable color [annatto and paprika extract], ezymes, powdered cellulose [to prevent caking], potassium sorbate and natamycin [preservatives]), pasteurized eggs, cheddar powder (cheddar cheese [cultured pasteurized milk, salt, enzymes], nonfat milk, maltodextrin, butter (cream salt), disodium phosphate, yeast extract, natural flavor, extractives of annatto), canola oil, modified corn starch, salt, annatto.","['Durum flour', 'Ricotta cheese', 'Water', 'Pasteurized whole milk']",[],"Overall, the ingredients appear to be safe for consumption. However, it's important to note that some individuals may have allergies or intolerances to certain foods such as dairy products (American cheese and cheddar powder) or gluten-containing grains like durum flour.",Unknown,Unknown,Unknown
"Huile de tournesol, jaune d’œuf, moutarde de Dijon (graines de moutarde, vinaigre d'alcool, eau, sel), poivron rouge, double concentré de tomate, vinaigre de vin blanc d’œuf","['Huile de tournesol', 'jaune d’├│uf']",[],"The ingredients appear to be safe for consumption. However, it is important to note that some individuals may have allergies or sensitivities to certain components of these products.",Unknown,Unknown,Unknown
"Ingrédients Romarin¹ (50%), citronnelle¹ (17%), cannelle¹, gingembre¹ (13%), arôme naturel de citronnelle¹, ginseng¹. ¹Ingrédients issus de l'agriculture biologique.","['Romarin', 'citronnelle', 'cannelle']",[],"Overall, these are safe and natural herbs that have been used for medicinal purposes. Romaine is a popular ingredient in cooking due to its aromatic flavor while citronnelle has an intense lemony scent which can be useful as well.",Unknown,Unknown,Unknown
"viande de porc, sel, épices, arômes naturels, dextrose, fructose, antioxydants: ascorbate de sodium: conservateurs: nitrite de sodium.","['viande de porc', 'sel']",[],"The product contains pork meat, salt and natural flavors which are generally safe to consume. However, the presence of nitrite sodium as a preservative could potentially be harmful if consumed in excess.",Unknown,Unknown,Unknown
Organic wholegrain rice.,['Organic wholegrain rice'],[],The ingredient is safe and healthy to consume.,Unknown,Unknown,Unknown
"Carne de cerdo, tocino, agua, sal, azúcar, especias, ajo, Regulador de la acidez: lactato de sodio, Estabilizantes (polifosfato de sodio, E452ii), Antioxidantes (E316, ácido ascórbico), Acidulante: ácido cítrico, Conservadores: Nitrato de sodio y Nitrito de sodio.","['Carne de cerdo', 'Tocino', 'Agua']",[],"Overall, the product appears to be safe for consumption. However, it is important to note that sodium nitrate and sodium nitrite are used as preservatives which can potentially lead to harmful health effects if consumed in large amounts.",Unknown,Unknown,Unknown
Jus de Ra:sin concentrè bio 31%.,"['Juice', 'Raspberry']",[],"The product appears to be made from natural ingredients and is likely safe for consumption. However, individuals with allergies or intolerances should always check the ingredient list before consuming any food.",Unknown,Unknown,Unknown
"Açúcar, maltodextrina, suco de morango desidratado, vitamina C, acidulante ácido cítrico, regulador de acidez citrato de sódio, espessantes: goma guar e goma xantana, antiumectante fosfato tricálcico, edulcorantes artificiais: aspartame (24mg/100ml), ciclamato de sódio (16mg/100ml), acesulfame de potássio (2,8mg/100ml) e sacarina sódica (1,3mg/100ml), corantes: dióxido de titânio, caramelo IV e vermelho 40, aromatizante e espumante extrato de quilaia. Pode conter leite e glúten. ALÉRGICOS: PODE CONTER LEITE NÃO CONTÉM GLÚTEN. FENILCETONURICOS: CONTÉM FENILALANINA.","['maltodextrina', 'suco de morango desidratado']",[],"The product contains some safe and potentially harmful ingredients. The potential harm comes from the presence of fenilalanine, which can be dangerous for people with phenylketonuria (PKU). Additionally, it may contain dairy products or gluten that could cause allergic reactions in sensitive individuals.",Unknown,Unknown,Unknown
"Viande de porc*, foie de porc 24%, gorge de porc*, échalotes, bouillon de volaille (eau, carcasses de volaille, oignon, sel, poivre), ceufs, couenne de porc*, sancerre (1,5%), farine de blé, sel, ail, poivre. *Origine : France.","['Viande de porc', 'foie de porc 24%', 'gorge de porc*', 'echalotes', 'bouillon de volaille (eau, carcasses de volaille, oignon, sel, poivre)', 'ceufs']",[],"Overall, the ingredients appear to be safe for consumption. However, it's worth noting that foie gras (foie de porc) is a controversial ingredient due to its production process and potential health risks associated with high levels of saturated fat intake.",Unknown,Unknown,Unknown
"Huile de colza, eau, sucre, vinaigre, oignons (3,9 %), jaunes d'_œufs_ (3,2 %) (jaunes d'_œufs_, sel, sirop de glucose), oignons rôtis (2,9 %) (oignons, huile de palme, farine de blé, sel), purée de tomates (5 %), extraits de jus de citron, sel, extraits naturels, paprika, colorant: B-carotène, antioxydant: E385.",[],[],Error: Expecting value: line 1 column 1 (char 0),Unknown,Unknown,Unknown
"eau, crème, fromage 10% prmesan (lait), amidon de mas mo sel jaune d'ceuf modifié par enzynmes roti, sucre, concentré de proteines lactoserum, saveurs naturelles lat gomme de xanthane, acide lactique 1% 14 % gomme arabique, phosphate de sou gluten free/sans gluten 0 % 916","['eau', 'crème']",[],"Overall, this product appears to be safe for consumption. However, it is important to note that the modified egg yolk enzyme may cause an allergic reaction in some individuals.",Unknown,Unknown,Unknown
"Corn starch, potato starch, potato flakes (dehydrated potatoes, mono and diglycerides, ascorbic acid, citric acid), tapioca starch, xanthan gum, whole dried eggs, filtered water and sea salt.","['corn starch', 'potato flakes (dehydrated potatoes)', 'tapioca starch']",[],"Overall, these ingredients are generally safe to consume. However, it's important for individuals with allergies or intolerances to certain components such as eggs and gluten (which may be present in some of the starch sources) to exercise caution.",Unknown,Unknown,Unknown
"potatoes, vegetable oil (soybean oil and/or canola oil), caramel colour, extractives of paprika, sodium phosphate.","['potatoes', 'vegetable oil']",[],"The product seems to be safe for consumption, but it is important to note that caramel color may contain potentially harmful substances such as diacetyl. It's also worth noting that sodium phosphate can cause digestive issues in some people.",Unknown,Unknown,Unknown
"gerehydrateerd plantaardig eiwit (40% soja, 40% tarwe) zonnebloemolie, vrije-uitloopei-eiwitpoeder, tarwevezel, aroma's, tarwezetmeel, natuurlijk aroma, verdikkingsmiddel (E407), dieetzout (kaliumchloride), dextrose, specerijen, maltodextrine, gistextract, ui, zout, ijzer, vitamine B12.","['gerehydrateerd plantaardig eiwit', 'zonnebloemolie']",[],"The product contains a high amount of soy protein, which can be harmful for people with allergies or intolerances. The use of natural flavorings and maltodextrine may also raise concerns about added sugars in the diet.",Unknown,Unknown,Unknown
"Steamed parboiled long grain rice (81%), carrot (5.7%), red pepper (5.7%), sunflower oil, spinach (rehydrated), onion powder, salt, coriander, spices, yeast extract, cumin seeds, garlic powder, acid (citric acid), curry powder.","['Steamed parboiled long grain rice', 'Carrot ', 'Red pepper']",[],"Overall, the product appears to be safe for consumption. However, it is important to note that excessive salt intake can lead to high blood pressure and other health issues.",Unknown,Unknown,Unknown
"Clementinensaft Direktsaft, Fruchtgehalt: 100%",['Clementinenachtsaft'],[],"The product appears to be safe for consumption as it contains only one ingredient, Clementinensaft Direktsaft which is a direct juice from clementines. It has 100% fruit content.",Unknown,Unknown,Unknown
"Légumes (55%) (Navets, carottes, courgettes, pois chiches, poivrons rouges et verts, garniture de céleri), eau, purée de tomates double concentrée, sel, amidon modifié de mais, arôme naturel (CELERI),colorant : extrait de paprika.","['Legumes', 'water']",[],"Overall, this product appears to be safe for consumption as it contains natural ingredients and is free of harmful additives. However, individuals with celery allergies should exercise caution when consuming the product due to the presence of celeri in its flavor.",Unknown,Unknown,Unknown
"crusca di grano tenero 70%, farina di mais, sale marino. Prodotto in uno stabilimento che utilizza cereal contenenti glutine, soia, frutta a guscio e sesamo. Da consumarsi preferibilmente entro il: vedere data sul fondo del pacchetto.","['crusca di grano tenero 70%', 'farina di mais']",[],"The product contains gluten, soy and sesame which may cause allergic reactions in some people. It is recommended to check the expiration date before consuming.",Unknown,Unknown,Unknown
"Siedesalz, Paprika, Zwiebel, Pfeffer, Muskatblüte, Trennmittel Calciumsalze der Speisefettsäuren, Folsäure, Kaliumjodat","['Siedesalz', 'Paprika']",[],"The product appears to be safe for consumption. Siodized salt (sodium chloride) is a common seasoning and flavor enhancer that has been approved by the FDA as generally recognized as safe when used in food products, but it should still be consumed moderately due to its high sodium content which can lead to hypertension if ingested excessively. Paprika contains antioxidants such as vitamin C and carotenoids that may have health benefits.",Unknown,Unknown,Unknown
"65% aardappel, 27% zonnebloemolie, MELK, zuursel, stremsel, suiker, LACTOSE, zout, 1,1% uipoeder, Specerijen, natuurlijk aroma (bevat MELK), voedingszuur E330 DERPOEDER, 0,2% jalapeño peper.","['65% aardappel', 'zonnebloemolie']",[],"Overall, the product appears to be safe for consumption. However, individuals with lactose intolerance should exercise caution as LACTOSE is present in this ingredient.",Unknown,Unknown,Unknown
"Skimmed milk powder, maltodextrin, inulin, soya bean oil powder (milk), natural flavouring, thickeners (xanthan gum, sodium carboxymethyl cellulose), vitamin & minerals' (potassium phosphate, magnesium oxide, vitamin C, vitamin E, iron pyrophosphate, zinc sulphate, niacin, vitamin A, pantothenic acid, biotin, manganese sulphate, vitamin B12, potassium iodide, sodium selenite, folic acid, vitamin D, copper sulphate, vitamin B6, thiamin, riboflavin, vitamin K), milk protein, colour (beetroot red), salt, sweetener (sucralose). For allergens, see ingredients in bold. May contain traces of gluten, egg, peanuts and nuts. Strawberry flavour milkshake powder, meal replacement for weight control with sweetener. Slimfast One Victoria Square, Birmingham, 81 18D, UK Glanbia PLC, 4 Waterside, Citywest Business Campus, Dublin 24, Ireland 1.825kg e Ⓡ 5 055967 501003 &gt; S3 6059328 Po Cal Pho Mag Iron Zinc Coppe Manga Seleniu lodine Sodium $1 serving= Pack contains Contains natur","['skimmed milk powder', 'maltodextrin', 'soya bean oil powder (milk)', 'natural flavouring']",[],"<p>Overall, the ingredient list appears to be safe for consumption. However, it is important to note that this product may contain traces of gluten and allergens such as egg peanuts and nuts.</p>",Unknown,Unknown,Unknown
"Oignons 65 %, sucre de canne, caramel, vinaigre de vin rouge, vin blanc, vinaigre d'alcool, sel, gélifiant : pectine, poivre.","['Oignons', '65', '%']",[],Overall the ingredients seem to be safe for consumption.,Unknown,Unknown,Unknown
"pommes de terre 58%, huile de tournesol 35 %, assaisonnement poulet rôti [farine de riz, arôme, extrait de levure, viande de poulet en poudre, sel, fibre de riz, plantes aromatiques, ail déshydraté, huile de tournesol, antioxydant: extraits de romarin], sel.","['pommes de terre', 'huile de tournesol']",[],"Overall, this product appears to be safe for consumption. The ingredients are commonly used in food production and do not pose any significant health risks.",Unknown,Unknown,Unknown
"Infusion de thé vert bio 53% (eau minérale naturelle Contrex 52%, infusion intense de thé vert bio 0,96%), eau minérale naturelle Contrex 36%, eau, sucre de canne liquide bio 3%, acidifiant : acide citrique, arôme naturel de citron, arôme naturel de miel.","['Infusion intense de thé vert bio', 'eau minérale naturelle Contrex 36%']",[],"Overall, the ingredients in this product appear to be safe for consumption. However, it's important to note that excessive intake of caffeine and sugar can have negative health effects.",Unknown,Unknown,Unknown
"farine de blé,  huile de tournesol, sucre, oeuf, sorbitol, glycérol, poudre à lever (carbonates de sodium et acide tartrique, blanc d'oeuf, gluten de blé, sorbate de potassium, sel","['farine de blé', 'huile de tournesol']",[],"Overall the ingredients seem to be safe. However it's important for people with gluten intolerance or celiac disease to avoid 'gluten de blé'. Also, those who are allergic to eggs should not consume this product as it contains egg.",Unknown,Unknown,Unknown
"crème de _lait_ pasteurisée issues de l'Agriculture Biologique, ferments _lactiques_","['crème de lait', 'pasteurisé']",[],"Overall, the product appears to be safe for consumption. The use of pasteurization ensures that any harmful bacteria are killed and biologically sourced cream is a good source of healthy fats.",Unknown,Unknown,Unknown
"Schweinefleisch (72%), Champignons (15%), Trinkwasser, Speisesalz, Gewürze, Dextrose, Gewürzextrakte, Stabilisator: Diphosphate; Antioxidationsmittel: Ascorbinsäure; Konservierungsstoff: Natriumnitrit. Kann Spuren von Senf und Sellerie enthalten.","['Schweinefleisch', 'Champignons', 'Trinkwasser']",[],"Overall, the ingredients appear to be safe for consumption. However, it's important to note that there may still be trace amounts of allergens such as soy or wheat in some products.",Unknown,Unknown,Unknown
"Mild Cheddar cheese. NUTRITION Made using British and Irish milk. As sold Typical values Allergy Advice Contains milk. Energy Suitable for vegetarians Fat STORAGE Keep refrigerated. Once opened, consume within 1 week and by date shown. of which satura Carbohydrate of which sugar Fibre Protein Salt Best before: see front Referencetak of pack adult (8400KJ Tesco Stores Recycling",['Mild Cheddar cheese'],[],No specific health concerns found for these ingredients.,Unknown,Unknown,Unknown
"Proto whey protein blend (micro peptides from high-dh hydrolyzed whey protein [40% di and tripeptides], whey protein isolate, milk protein isolate), peanut butter (peanuts, palm oil, salt), palm oil, palm kernel oil, enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, peanut flour, fructose, natural flavors, corn fiber, soy lecithin, salt, stevia leaf extract, baking soda, ammonium bicarbonate.","['Proto whey protein blend', 'enriched flour']",[],"The ingredients seem to be generally safe for consumption, with the exception of peanut butter which may cause allergic reactions in some individuals. The presence of added sugars and salt should also be noted as they can contribute to high blood pressure if consumed excessively.",Unknown,Unknown,Unknown
"sirop de glucose; sucre; gélatine; dextrose,' acidifiant: acide citrique; jus de fruits concentrés: pomme, orange, citron, fraise, framboise, ananas; arôme; concentrés de fruits et de plantes: carthame, spiruline, pomme, kiwi, orange baie de sureau, citron, mangue, fruit de la passion, cassis, aronie, raisin; agents d'enrobage: cire d'abeille blanche et jaune, cire de carnauba","['sirop de glucose', 'gélatine']",[],"Overall the ingredients seem safe for consumption. However, it's important to note that excessive intake of sugar can lead to health issues such as obesity and tooth decay.",Unknown,Unknown,Unknown
"Semoule de _blé_ dur 29 %, eau, tomate 12 %, huile de colza, oignon 4 %, poivron vert 3,6 %, poivron rouge 3 %, raisin sec 3 % (raisin sec, huiles de colza et/ou de graine de coton en proportion variable), concombre 2,4 %, vinaigre d'alcool, huile d'olive vierge extra 2 %, sel, menthe 1 %, jus de citron à base de concentré, préparation de légumes déshydratés [extrait de légumes (carotte, oignon, poireau, céleri), sel, acide ascorbique, matière grasse _laitière_ anhydre, acide citrique, extrait de laurier, huile essentielle de laurier, extrait de thym], coriandre, acide ascorbique, poivre, fenouil 0,01 %, arôme naturel de menthe avec autres arômes naturels, gomme xanthane, curcuma.","['Semoule de blé dur', 'eau']",[],"Overall the product appears to be safe, with no harmful or potentially allergic ingredient found. However it's worth noting that some people may have an allergy towards colza oil which is present in this recipe.",Unknown,Unknown,Unknown
Cardamome moulue 100 %.,['Cardamom'],[],The ingredient appears to be safe for consumption.,Unknown,Unknown,Unknown
"maiz, azucar, extracto de malta, sal yodada","['maiz', 'azucar']",[],"The ingredients appear to be safe for consumption. However, it is important to note that excessive intake of sugar can lead to health issues such as obesity and diabetes.",Unknown,Unknown,Unknown
Eau - lentilles - haricots rouges - pois chiches - haricots blancs - haricots noirs - sel.   Traces de gluten et de soja.,"['Eau', 'lentilles']",[],"Overall, this product appears to be safe for consumption as long as individuals with gluten or soy allergies avoid it. Lentils are a good source of protein and fiber, while the various types of beans provide additional nutrients such as iron and potassium.",Unknown,Unknown,Unknown
"gelatina, maltodextrina, colágeno, acidulante ( ácido tartarico y ácido fumarico), goma arábiga, sabor natural fresa, endulcorante ( sucralosa), regulador de acidez ( citrato de sodio), color rojo No 40, vitamina C,","['gelatina', 'maltodextrina', 'colágeno']",[],"Overall the product seems safe to consume as all of its ingredients are commonly used in food products and have been approved for use by regulatory bodies. However, it is important to note that excessive consumption may lead to health issues such as high sugar intake from sucralosa or citric acid sensitivity.",Unknown,Unknown,Unknown
"Glucose syrup; sugar; dextrin water gelatine; humectant: sorbitol syrup; acid citric acid; fruit and plant concentrates apple, bilberry, blackcurrant, carrot, afavaring; glazing agent hibiscus; radish, safflower, spirulina beeswax; invert sugar syup","['glucose syrup', 'sugar', 'dextrin water gelatine']",[],"Overall, the ingredients in this product are generally safe for consumption. However, it is important to note that excessive intake of sugar and high-fructose corn syrup can lead to health problems such as obesity, diabetes, heart disease, and tooth decay.",Unknown,Unknown,Unknown
"Pflanzliche Fette (Palm, Kokos, in veränderlichen Gewichtsanteilen), Weizenmehl, Traubenzucker, Zucker, Kakaomasse, Kakaobutter, fettarmes Kakaopulver, Weizenstärke, Milchzucker, Hühnervolleipulver, Speisesalz, Emulgator (Lecithine (Soja)), Zimt, Gerstenmalzextrakt, natürliches Aroma, Backtriebmittel (Natriumcarbonate).","['Pflanzliche Fette', 'Weizenmehl', 'Traubenzucker', 'Zucker', 'Kakaomasse', 'Kakaobutter', 'fettarmes Kakaopulver']",[],"Overall, the ingredients seem to be safe for consumption. However, it's important to note that excessive intake of sugar and salt can lead to health problems such as obesity and high blood pressure.",Unknown,Unknown,Unknown
"Distilled water, guava pulp, white cane sugar, potassium benzoate, ascorbic acid.","['Distilled Water', 'Guava Pulp']",[],"Overall the product appears to be safe for consumption, with distilled water being a healthy ingredient and guava pulp providing nutritional benefits. Potassium benzoate is generally considered safe in small amounts but may cause allergic reactions or hyperactivity in some people.",Unknown,Unknown,Unknown
"Enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), water, oats, whole wheat flour, vegetable oil (canola oil or soybean oil), brown sugar, salt, sugar, yeast, vinegar, cultured wheat starch.","['Enriched wheat flour', 'water', 'oats']",[],No specific health concerns found for these ingredients.,Unknown,Unknown,Unknown
"Sirop de glucose, sucre, purée de pommes, stabilisant (glycérol), acidifiant (acide citrique), arômes naturels, colorants (anthocyanes, extrait de paprika).","['Sirop de glucose', 'sucre']",[],"Overall the product seems to be safe for consumption. However, it's important to note that excessive intake of sugar can lead to health issues like obesity and diabetes.",Unknown,Unknown,Unknown
